GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Class,CasualtiesPerPop,CasualtiesPerPopDens,TotalInjuries,TotalDeaths,Collisions,CasualtiesCount
36081053900,4413,19186.95652,1395,3018,2098,883,1384,1345,634,167,326,182,34.5,780,38185,574,1161,28,79,128,66,132,1113,665,180,192,963,NYC,Queens,1,0.028098799,0.006462724,123,1,652,124
36081045400,4543,50477.77778,176,4367,2259,887,1162,1456,894,144,273,120,39.5,734,33465,650,1030,0,0,356,34,281,935,775,422,310,670,NYC,Queens,1,0.027955096,0.002515959,126,1,500,127
36081035800,3979,19895,32,3947,2228,871,974,1110,762,262,442,205,38.2,447,37192,900,766,0,0,91,63,85,1141,549,207,163,396,NYC,Queens,1,0.027896456,0.005579291,111,0,404,111
36081019600,2877,31966.67,24,2853,1565,695,721,856,482,123,171,125,35.7,510,33214,463,735,0,8,39,22,177,870,253,75,251,250,NYC,Queens,1,0.027806743,0.002502607,80,0,242,80
36081013000,1620,23142.86,509,1111,726,320,350,526,333,91,109,37,41.4,245,34006,356,472,0,0,11,11,33,424,332,167,64,167,NYC,Queens,1,0.027777778,0.001944444,45,0,172,45
36081053000,2389,26544.44444,27,2362,1257,541,541,610,570,127,263,155,39.4,379,32000,564,551,0,0,76,21,77,850,294,95,104,122,NYC,Queens,1,0.027626622,0.002486396,66,0,156,66
36081009800,2844,56880,77,2767,1407,687,556,961,570,70,190,98,39.4,760,26580,409,710,0,0,35,17,177,719,317,69,203,729,NYC,Queens,1,0.02742616,0.001371308,78,0,304,78
36081017400,2564,36628.57,35,2529,1395,526,572,809,572,85,311,120,39.8,423,31006,577,490,0,9,16,5,216,773,260,59,178,347,NYC,Queens,1,0.027301092,0.001911077,68,2,177,70
36081044602,4843,69185.71429,58,4785,2658,1329,1289,1407,720,98,557,129,32.8,1353,19626,378,1385,0,0,157,76,288,1181,537,223,328,1886,NYC,Queens,1,0.027255833,0.001907908,132,0,516,132
36081053100,2943,18393.75,1747,1196,1402,497,862,711,681,192,311,170,36.8,558,35864,624,646,11,19,109,81,127,1097,360,199,166,477,NYC,Queens,1,0.027183146,0.004349303,80,0,574,80
36081052600,1998,28542.85714,49,1949,1036,592,471,559,295,81,262,67,32.5,185,40208,402,432,0,0,30,0,42,565,227,76,156,404,NYC,Queens,1,0.027027027,0.001891892,54,0,148,54
36081055700,3452,38355.55556,1358,2094,1790,654,1164,948,477,209,315,134,32.7,939,29861,401,1330,0,28,70,18,81,969,285,187,146,460,NYC,Queens,1,0.026940904,0.002424681,93,0,452,93
36081025301,3898,77960,1585,2313,1917,348,1258,1408,695,189,406,85,40,1321,39187,191,2047,0,9,130,116,276,1142,865,314,323,391,NYC,Queens,1,0.026936891,0.001346845,105,0,377,105
36081093800,5308,16587.5,3660,1648,2541,1032,917,1216,1463,680,576,537,50.6,263,41272,1019,740,19,17,107,44,291,1895,606,261,166,523,NYC,Queens,1,0.026752072,0.008560663,142,0,506,142
36081052200,1777,25385.71429,4,1773,967,407,383,450,430,107,158,93,40.7,144,41080,516,353,0,0,10,29,39,466,228,115,55,104,NYC,Queens,1,0.026449071,0.001851435,47,0,128,47
36081029500,3559,50842.86,1343,2216,1763,539,716,1316,776,212,346,298,41.7,771,43670,365,1359,0,0,189,80,112,990,741,301,106,254,NYC,Queens,1,0.026411913,0.001848834,94,0,230,94
36081010100,2695,38500,1798,897,1395,391,990,809,328,177,274,85,33.9,424,36492,406,972,0,27,113,24,82,649,681,249,101,403,NYC,Queens,1,0.026345083,0.001844156,71,0,148,71
36081069702,3435,20205.88,1972,1463,1643,499,734,959,901,342,340,208,47.6,484,50363,683,878,0,18,153,81,90,701,871,516,113,281,NYC,Queens,1,0.026200873,0.004454149,89,1,287,90
36081050700,3943,28164.29,1888,2055,2210,856,667,1266,874,280,256,221,39.7,550,30662,803,976,0,0,23,75,106,1222,611,255,164,525,NYC,Queens,1,0.026122242,0.003657113,103,0,380,103
36081120700,2844,10533.33333,832,2012,1473,486,644,801,654,259,168,162,44.7,460,32992,687,553,6,0,35,57,125,858,422,221,41,203,NYC,Queens,1,0.026019691,0.007025316,74,0,268,74
36081036100,2960,49333.33,72,2888,1447,804,885,694,466,111,288,99,30.8,985,22143,214,759,0,31,104,58,172,873,196,91,124,666,NYC,Queens,1,0.026013514,0.001560811,77,0,218,77
36081161700,4436,16429.62963,1791,2645,2187,806,1036,1125,1155,314,261,190,41.7,670,40022,1661,590,0,0,18,54,77,1636,533,392,27,95,NYC,Queens,1,0.025924256,0.006999549,115,0,478,115
36081055300,2554,42566.66667,477,2077,1379,549,1065,629,238,73,139,96,29.1,816,32819,87,1046,0,55,94,17,139,497,277,71,58,599,NYC,Queens,1,0.025841817,0.001550509,66,0,274,66
36081059800,1669,20862.5,29,1640,943,362,364,541,301,101,195,92,38.3,150,38040,493,272,0,0,16,34,75,538,214,164,14,81,NYC,Queens,1,0.02576393,0.002061114,43,0,230,43
36081103201,6401,40006.25,28,6373,3837,1913,1766,1663,931,128,661,265,30.2,1260,25284,745,1522,0,14,150,41,428,1583,335,77,312,1933,NYC,Queens,1,0.025620997,0.004099359,164,0,478,164
36081094202,4937,16456.67,913,4024,2474,1496,1378,1423,550,90,553,73,29.1,317,37516,866,934,0,0,60,51,118,1319,595,241,283,1287,NYC,Queens,1,0.025521572,0.00765647,126,0,465,126
36081002800,3384,37600,410,2974,1635,934,1105,737,567,41,283,69,30.4,1041,35473,597,916,0,0,62,40,145,1002,224,52,144,477,NYC,Queens,1,0.025413712,0.002287234,86,0,322,86
36081045800,2246,24955.56,175,2071,1150,590,566,540,433,117,96,94,34.2,525,39138,352,575,0,0,41,0,80,283,584,288,116,202,NYC,Queens,1,0.025378451,0.00228406,57,0,245,57
36081016800,3235,40437.5,96,3139,1551,571,987,909,592,176,249,160,37.9,495,28861,727,788,0,0,22,18,268,1080,186,38,127,389,NYC,Queens,1,0.025347759,0.002027821,82,0,217,82
