"GEOID","pop_dens","minority_dens","female_dens","genz_dens","millenial_dens","genx_dens","boomer_dens","retiree_dens","divsep_dens","widowed_dens","median_age","foreign_dens","median_earnings","cars_dens","trans_dens","mbike_dens","bike_dens","walk_dens","wfm_dens","lowedu_dens","hsged_dens","bs_dens","grad_dens","unemp_dens","pov_dens","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36047110600",61200,61200,39914.2857142857,18000,17685.7142857143,13242.8571428571,10942.8571428571,1328.57142857143,7085.71428571429,2314.28571428571,27.3,2271.42857142857,21939,2728.57142857143,14642.8571428571,0,0,1014.28571428571,214.285714285714,1828.57142857143,14428.5714285714,3057.14285714286,142.857142857143,2771.42857142857,25028.5714285714,"NYC",201,79,26,0,79,0
"36005004001",29780,26360,15560,6120,5800,8080,7280,2500,1780,2000,40.2,2860,31538,3900,7260,0,0,780,0,2220,9120,2520,320,1160,5580,"NYC",128,32,10,0,32,0
"36081057900",56433.3333333333,21766.6666666667,28900,12233.3333333333,11433.3333333333,19733.3333333333,10533.3333333333,2500,7066.66666666667,2166.66666666667,38.7,10566.6666666667,39750,9433.33333333333,15866.6666666667,0,0,1666.66666666667,433.333333333333,1433.33333333333,17833.3333333333,5400,2133.33333333333,1333.33333333333,7333.33333333333,"NYC",111,22,6,0,22,0
"36061013000",49600,5885.71428571429,28000,7642.85714285714,6171.42857142857,12785.7142857143,13671.4285714286,9328.57142857143,4700,3314.28571428571,53,3885.71428571429,78516,5971.42857142857,8814.28571428571,0,200,4757.14285714286,3200,528.571428571429,3500,12542.8571428571,14214.2857142857,642.857142857143,3842.85714285714,"NYC",689,82,31,0,82,0
"36047043900",49637.5,47275,25287.5,11425,14087.5,11825,11187.5,1112.5,5900,1725,34.3,13475,29722,2762.5,15000,0,612.5,2362.5,387.5,3787.5,12287.5,3550,1325,4625,14687.5,"NYC",441,120,32,2,118,2
"36081041400",22794.4444444444,22555.5555555556,12122.2222222222,5883.33333333333,6100,6566.66666666667,3372.22222222222,872.222222222222,2005.55555555556,1094.44444444444,34.1,2677.77777777778,29444,4638.88888888889,6155.55555555556,0,0,133.333333333333,22.2222222222222,1083.33333333333,7233.33333333333,1633.33333333333,694.444444444444,1472.22222222222,3216.66666666667,"NYC",212,82,10,0,82,0
"36061004400",100243.75,26362.5,62387.5,8643.75,41656.25,16981.25,25962.5,7000,7212.5,4337.5,34.9,7481.25,60128,5118.75,41950,0,3062.5,10375,4243.75,712.5,9425,30587.5,21837.5,1762.5,10425,"NYC",745,218,31,1,217,1
"36081011900",39400,15650,17725,4600,15850,12200,4775,1975,3375,1700,34.1,5850,38462,2625,16925,0,600,1425,1350,1175,9925,10825,4375,2025,5500,"NYC",108,26,11,0,26,0
"36081026901",128800,125500,60450,25750,35450,40875,22150,4575,11450,3850,35.9,56850,23915,4825,51500,0,875,5150,1425,6350,38350,14025,4875,4225,20950,"NYC",305,88,48,0,88,0
"36047067400",29142.8571428571,24600,15714.2857142857,6142.85714285714,6414.28571428571,7328.57142857143,8428.57142857143,828.571428571428,2857.14285714286,1500,43.6,3814.28571428571,35128,4728.57142857143,8485.71428571428,0,0,700,28.5714285714286,1157.14285714286,9042.85714285714,3828.57142857143,1571.42857142857,842.857142857143,2700,"NYC",150,34,6,0,34,0
"36081033900",55950,49750,30283.3333333333,13483.3333333333,9550,17533.3333333333,13200,2183.33333333333,5316.66666666667,2250,40.1,14233.3333333333,34229,6350,16566.6666666667,0,0,716.666666666667,0,1683.33333333333,15316.6666666667,5733.33333333333,2900,1333.33333333333,6383.33333333333,"NYC",249,61,16,0,61,0
"36005042400",38285.7142857143,36700,19157.1428571429,7628.57142857143,7514.28571428571,10928.5714285714,8328.57142857143,3885.71428571429,4828.57142857143,2942.85714285714,41.2,5985.71428571429,35000,6214.28571428571,8600,0,0,714.285714285714,371.428571428571,1614.28571428571,9928.57142857143,4571.42857142857,1414.28571428571,1842.85714285714,5442.85714285714,"NYC",303,128,22,1,127,1
"36047064000",29716.6666666667,7216.66666666667,15900,8433.33333333333,6616.66666666667,4766.66666666667,7750,2150,1633.33333333333,1416.66666666667,34,1300,60893,6450,5266.66666666667,0,50,383.333333333333,433.333333333333,983.333333333333,6250,5033.33333333333,3583.33333333333,300,1200,"NYC",74,15,2,0,15,0
"36061017700",135371.428571429,72842.8571428571,81828.5714285714,23014.2857142857,29100,35600,38785.7142857143,8871.42857142857,16485.7142857143,5600,43.7,12257.1428571429,68239,9285.71428571428,46271.4285714286,0,1385.71428571429,4442.85714285714,5157.14285714286,1742.85714285714,23042.8571428571,21457.1428571429,28442.8571428571,3114.28571428571,23357.1428571429,"NYC",324,57,27,0,57,0
"36047009400",92850,78733.3333333333,48733.3333333333,21966.6666666667,26233.3333333333,28183.3333333333,13933.3333333333,2533.33333333333,4600,2483.33333333333,32.9,36483.3333333333,17356,11450,24716.6666666667,0,0,5083.33333333333,50,11416.6666666667,12516.6666666667,8850,3116.66666666667,3850,34966.6666666667,"NYC",229,57,37,0,57,0
"36061002100",72088.8888888889,18633.3333333333,33666.6666666667,17033.3333333333,19366.6666666667,24444.4444444444,9477.77777777778,1766.66666666667,3411.11111111111,522.222222222222,34.8,9711.11111111111,155030,3733.33333333333,23122.2222222222,0,388.888888888889,10344.4444444444,3555.55555555556,388.888888888889,3377.77777777778,22544.4444444444,17755.5555555556,711.111111111111,1977.77777777778,"NYC",1261,247,88,0,247,0
"36047087600",30260,26940,17840,5100,7540,7780,7320,2520,5260,1180,41.4,1960,32232,3320,6820,0,0,1060,560,1260,11420,3780,1500,920,8280,"NYC",272,70,19,0,70,0
"36047012200",82671.4285714286,76671.4285714286,37085.7142857143,22414.2857142857,25228.5714285714,21428.5714285714,11557.1428571429,2042.85714285714,5500,1557.14285714286,30.5,37585.7142857143,16081,7000,25428.5714285714,0,1442.85714285714,4514.28571428571,242.857142857143,9385.71428571428,11857.1428571429,4714.28571428571,1085.71428571429,6042.85714285714,30471.4285714286,"NYC",622,153,45,0,153,0
"36061014801",158200,33300,79900,28700,38900,38700,39100,12800,9950,2650,39.8,8400,86382,11450,60750,0,350,13650,8150,1350,8550,44200,40850,3100,6350,"NYC",539,84,42,0,84,0
"36061018500",105180,42880,57860,14940,23920,33100,23440,9780,9120,6060,41.2,18900,78152,4300,45740,0,1520,2620,4020,1040,6180,32200,28840,3780,7160,"NYC",73,23,6,0,23,0
"36047042600",60442.8571428571,32528.5714285714,33557.1428571429,9457.14285714286,13128.5714285714,19685.7142857143,13185.7142857143,4985.71428571429,4700,3628.57142857143,43.9,19585.7142857143,23550,6528.57142857143,18814.2857142857,0,914.285714285714,2114.28571428571,0,4228.57142857143,13985.7142857143,10057.1428571429,3100,2771.42857142857,13057.1428571429,"NYC",199,54,12,0,53,1
"36047026700",64950,51333.3333333333,30366.6666666667,11466.6666666667,16666.6666666667,23433.3333333333,8866.66666666667,4516.66666666667,7733.33333333333,2850,39,3733.33333333333,40756,6016.66666666667,21250,0,1666.66666666667,300,950,1550,14133.3333333333,10600,9950,5200,13916.6666666667,"NYC",193,78,10,0,78,0
"36061015002",100300,18720,61680,19560,4260,22200,39400,14880,6200,8260,57.5,7380,88583,4560,27400,0,1100,3400,8320,0,6520,27340,28020,820,3700,"NYC",271,30,6,0,30,0
"36081011800",45950,40133.3333333333,21916.6666666667,12150,14516.6666666667,11116.6666666667,7016.66666666667,1150,2033.33333333333,833.333333333333,31.8,12583.3333333333,26689,9116.66666666667,10600,0,0,1183.33333333333,766.666666666667,1400,10366.6666666667,5066.66666666667,1333.33333333333,1666.66666666667,9183.33333333333,"NYC",252,67,20,0,67,0
