"GEOID","crime_idx","spend_alc","spend_trans","biz_alc","biz_resto","biz_lib","biz_groc","biz_health","biz_hotel","biz_retail","fastfood_6mo","fastfood_freq","road_maxspeed","road_meanspeed","road_maxlength","road_minlength","road_meanlength","road_totlanes","road_maxlanes","road_iri","road_bumps","road_aadt","road_sumlength","road_pci","road_pavewidth","road_vc","road_q","pop","sqmi","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov"
"36081021600",70,1279539,582670,1,12,4,5,11,0,20,3142,1312,50,19.27388551,0.91285364,0.00018351,0.23820937,1.50311898,5.99999963,100.2889788,8.20550704,37230.14234,6.66230842,57.94096921,13.32698785,0.07472299,25.0006178,4087,0.26,"NYC",860,184,30,3,180,4,17242.3076923077,1231,3252,2324,919,889,1374,1029,272,294,192,41.1,734,35766,503,1271,0,88,73,156,257,832,825,414,240,504
"36081001200",44,752966,480285,1,14,3,5,4,0,36,2654,1046,25,6.17142399,0.31784489,7.45e-05,0.23843577,1.28266886,2.00000044,18.99562996,7.85763006,1260.968365,1.52333104,60.47170156,4.81543747,0.09956833,28.0982388,3783,0.09,"NYC",294,73,17,0,72,1,52522.2222222222,1018,3709,2405,1171,1097,1291,936,232,195,169,36.4,825,36316,988,1141,24,0,48,0,148,1447,429,172,95,470
"36005040100",109,517897,605697,1,10,8,2,9,0,44,2531,683,25,8.18302864,0.28814224,0.00035819,0.18461013,1.38028219,3.41610421,62.58574689,8.17293782,5248.161499,1.35896012,42.44002158,8.58852727,0.03805582,25.2789787,4439,0.07,"NYC",510,138,43,1,137,1,66457.1428571429,145,4507,2221,1306,1255,1379,580,132,523,155,32.7,1232,25136,169,1261,0,0,98,86,221,1216,162,77,451,1955
"36005015700",125,476149,403784,1,2,4,3,1,1,10,2472,905,50,15.84396408,0.35014791,0.00054105,0.19977467,0.54456724,1.38970265,46.79808622,1.28315842,9713.876797,2.46116834,48.15535699,9.02012468,0.04051428,22.5537063,3702,0.12,"NYC",394,82,12,0,81,1,36375,51,4314,2488,1070,1556,951,725,63,480,203,29.5,1060,23079,240,1382,0,0,126,7,155,1312,182,22,530,1216
"36081048900",48,241904,169805,0,3,8,0,2,2,23,992,399,25,9.42297437,0.40857909,8.43e-05,0.27139997,2.18440142,4.77559971,28.3948074,3.69174673,4390.493792,2.14715687,64.66880356,9.70665936,0.01398228,22.14318142,1409,0.14,"NYC",467,122,11,0,122,0,13169.2307692308,138,1574,883,389,602,387,294,40,109,21,31.3,517,26146,375,404,0,0,5,6,121,371,215,22,37,164
"36047073600",58,577296,425159,1,6,0,4,8,0,20,2255,943,25,12.79937513,0.29184333,0.00073573,0.15477591,2.05515613,3.89124444,88.40447002,13.50024496,5633.662474,1.20825435,48.3000523,13.32334051,0.12504399,25.87948894,3334,0.07,"NYC",324,75,19,0,75,0,51971.4285714286,324,3314,1819,851,714,1221,771,81,396,90,40.1,736,35463,528,1082,0,0,17,59,146,1202,533,147,164,740
"36005050400",211,4941,5780,0,0,0,0,0,0,1,25,7,55,24.39477761,0.94317046,0.00054436,0.37596859,1.88119901,6.0000081,53.25935311,1.52931592,20095.34266,10.20258897,76.79555864,7.48346497,0.16695611,23.56756763,39,2.61,"NYC",682,279,0,0,275,4,23.2974910394265,0,65,20,16,22,11,8,8,3,8,26.9,3,NA,12,23,0,0,0,0,8,15,0,8,0,0
"36047001800",42,0,0,2,16,0,28,13,0,204,0,0,50,21.94296744,0.9581032,0.00040772,0.38793765,1.07597832,2.91010892,183.9853978,33.39298316,47687.0257,6.96146772,53.28687709,16.56384933,0.65870564,18.52127673,2312,0.84,"NYC",2495,537,40,0,536,1,2253.26086956522,263,1810,33,0,927,1005,141,0,309,27,37,519,14423,0,0,0,0,0,0,210,803,15,65,0,0
"36061001001",22,719079,249493,0,1,2,0,5,0,3,1058,400,25,11.29656531,0.21890063,0.0003426,0.15599068,1.2198866,2.00000084,27.65839949,7.81261901,15809.81121,0.49093169,33.32982282,3.1936223,0.19046932,24.47954341,1355,0.03,"NYC",356,125,6,1,121,4,49500,996,489,684,193,247,475,428,142,141,121,45.4,55,75179,96,360,0,28,96,42,10,369,496,206,106,85
"36005043500",23,4734,3487,0,1,1,1,0,0,0,26,11,55,25.30375618,1.09073395,4.9e-05,0.36205801,2.20333209,6.00000188,103.9170913,11.73232115,33702.53819,18.84415677,71.24725216,16.55836867,0.30799489,24.25850337,39,2.61,"NYC",2907,1117,51,2,1111,6,23.8461538461538,0,62,45,9,29,0,12,12,8,12,23.8,0,15375,0,31,0,0,0,0,0,4,0,0,0,8
"36047118800",77,520535,314230,2,12,0,13,6,0,68,2915,1139,23,9.47733467,0.38237727,0.02678673,0.23947285,1.11028294,1.92468229,NA,NA,268.0848653,1.123418,60.61389042,3.14696597,0.01844057,25.47495409,4543,0.07,"NYC",252,50,21,0,50,0,66100,112,4515,2421,947,1465,1250,901,64,361,165,33.5,1239,23739,353,1509,0,0,28,26,147,1536,323,78,176,1149
"36061008400",350,1445303,527481,1,107,24,13,27,22,410,1439,689,21,11.0636471,0.20382839,0.00068213,0.18691536,0.73236591,1.48357208,11.69246861,9.74091492,1742.363685,1.43120121,43.3348511,3.80548397,0.00373233,26.53204576,1754,0.07,"NYC",1703,250,86,1,248,2,29500,925,1140,1244,116,1158,514,277,0,188,19,30.4,751,88750,48,505,9,0,643,82,0,156,630,405,86,398
"36081044400",150,414103,259144,0,14,3,2,7,0,64,2269,891,25,7.44465923,0.67421362,0.00030466,0.34583161,1.30923749,1.99999974,65.69535588,42.3269201,3330.496219,3.57101234,53.07921168,4.08030455,0.13400142,21.96501766,3523,0.35,"NYC",1201,389,77,1,388,1,9091.42857142857,90,3092,1634,666,898,906,517,195,313,122,35.8,971,26146,264,967,0,0,153,29,216,823,225,144,152,754
"36005022200",76,517799,287786,2,19,9,6,15,0,62,2324,895,25,7.89287711,0.36632135,0.00043117,0.19664833,1.67365158,3.92936304,0.66522628,0.07512159,109.1976732,1.21768856,69.61496324,5.85025794,0.00858816,24.54708185,3522,0.08,"NYC",621,132,40,2,130,2,36755.5555555556,152,3156,1616,722,1003,1011,493,79,432,110,32.9,984,25486,487,1145,0,0,48,0,179,1009,225,74,187,849
"36061013700",201,6133718,2976014,7,121,19,8,155,42,287,5183,1914,15,9.59993344,0.34235928,0.0003055,0.2674352,0.77976106,1.58096132,43.59526077,26.08439917,5030.434766,2.70536934,31.6496873,2.39856149,0.16313505,25.96781949,6573,0.09,"NYC",1990,247,77,1,245,2,71444.4444444445,4535,1895,3454,716,2131,1718,1207,658,421,406,38.2,1180,91628,201,1572,0,25,1489,429,0,583,2171,1921,225,540
"36081074300",28,1030218,635833,0,15,1,13,14,0,51,2837,1169,6,2.18250539,0.29702575,0.09316812,0.26047857,0.43383606,0.584852,16.61459859,3.15729132,836.9240877,1.44490609,22.00833098,1.77679668,0.01122632,27.20343035,4380,0.07,"NYC",296,58,26,1,57,1,64042.8571428571,2417,2066,2346,861,935,1376,823,488,412,250,41.3,723,50849,610,906,0,0,289,45,171,1059,873,408,154,397
"36081062600",89,528572,201862,0,1,6,0,3,0,11,1857,850,29,8.05074118,0.41038392,0.02085968,0.33232724,1.83618292,3.90841827,46.89599933,12.75028426,4969.984271,2.02290488,61.42534238,2.52603454,0.15642061,25.21380772,2572,0.17,"NYC",297,86,11,0,86,0,17135.2941176471,55,2858,1600,632,552,920,534,275,174,194,40.3,331,41794,781,498,0,0,23,19,90,968,289,187,92,160
"36081069701",27,912850,562435,0,7,0,1,4,0,7,2604,1020,3,0.97264654,0.25609043,0.00143827,0.21227296,0.71858269,0.92169818,13.11526602,5.87696731,1328.095002,0.38167727,21.15370845,3.92490011,NA,24.32666886,3908,0.05,"NYC",138,18,7,0,18,0,78020,1515,2386,2139,582,1165,1155,763,236,332,177,36.8,1019,46494,397,1454,0,0,190,24,132,709,1093,482,193,514
"36081031700",34,1639930,971435,1,11,1,3,3,0,28,4292,1757,50,13.05895968,0.52692979,4.3e-05,0.2786189,1.2931725,4.00000504,65.01101844,14.82248713,19014.15862,7.26355021,76.40727611,10.70260699,0.05167071,25.55726638,6017,0.27,"NYC",1283,352,23,0,352,0,22122.2222222222,4224,1749,3059,924,1293,1831,1395,530,268,495,42.2,649,35520,1280,1286,0,0,165,141,162,1825,828,571,150,386
"36061017900",60,5797685,2811744,1,25,5,7,19,4,61,6995,2592,50,8.90970582,0.23220165,0.00054635,0.17215531,1.4776153,6.00000182,45.46305873,5.59862695,19501.92672,1.00209385,25.97098592,5.40997535,0.01435733,28.19985334,9488,0.08,"NYC",567,103,38,2,101,2,119012.5,6307,3214,5076,1509,2556,2973,1717,766,503,356,42.7,1298,47090,466,3652,0,0,316,587,268,1208,2482,1932,452,1148
"36047109800",171,312067,229827,0,5,1,3,4,0,40,1300,543,25,9.8697841,0.67631862,0.00053698,0.38774485,2.09087858,4.98923574,57.55576699,12.44858393,8054.11039,4.17757355,60.88043823,8.32520599,0.24221525,21.65201039,2113,0.33,"NYC",1139,339,24,1,336,3,6836.36363636364,30,2226,1144,620,735,574,239,88,167,37,29.3,349,37308,264,655,0,0,6,8,121,519,235,68,146,408
"36047000900",153,2943942,1428368,1,25,28,20,90,1,80,3324,1228,25,16.05051473,0.23528257,0.00132551,0.1683077,1.77402191,5.91556127,64.74131101,5.02644375,9577.208282,1.58222675,51.38525551,7.82025197,0.36929217,26.69998314,3984,0.06,"NYC",872,169,51,0,169,0,70750,2896,1349,2028,544,1876,1230,390,205,160,115,33.4,349,86875,60,2139,10,89,295,89,87,285,1402,898,42,264
"36061008000",147,5132539,2490252,2,78,16,12,110,18,148,4764,1760,25,11.68757604,0.34591795,0.00685458,0.2127178,1.20735051,3.99999916,84.70942506,13.37376444,2486.042108,2.0953687,37.80593411,3.43679535,0.08247062,26.64885176,5897,0.07,"NYC",1959,283,91,0,283,0,73700,4194,965,2745,401,1776,1003,1416,563,614,278,42.7,410,92736,184,1274,0,43,1466,482,32,446,2150,927,196,372
"36061013500",178,3197471,1349252,1,24,9,4,6,3,84,7558,2874,35,21.65943652,0.40333356,0.00999998,0.19327478,1.750059,4.00000041,68.00688298,6.23842032,15260.5942,3.06193192,71.6914672,6.13953586,0.52452033,22.29740145,7411,0.16,"NYC",1741,294,85,0,292,2,43750,2985,4015,3596,726,2261,1815,1587,611,814,492,41.8,882,71135,385,1605,0,95,1543,141,283,1408,1641,1012,116,1153
"36047058800",43,787761,552972,0,10,0,2,22,0,25,2324,934,9,5.70922967,0.21557908,0.17787698,0.19855514,0.45049369,0.71150792,NA,NA,858.3480175,0.39318692,22.52468435,1.12623422,0.05168825,NA,NA,NA,"NYC",215,40,11,0,40,0,61650,2424,1275,1955,707,764,1037,907,284,339,259,41.5,585,50318,574,907,0,31,224,61,144,565,983,419,180,561
"36005023704",82,366170,428249,1,7,4,2,2,0,20,2016,545,13,3.09028971,0.23174237,0.00850934,0.15502662,0.7019532,1.00824855,5.29574337,0.88535648,389.6033124,0.53374441,31.04750975,2.3360335,0.00854854,24.11516525,3827,0.03,"NYC",265,100,31,0,100,0,138066.666666667,29,4113,2214,1269,1500,877,416,80,534,151,27.2,1521,16861,184,980,0,0,272,267,162,932,242,36,246,2169
"36081016900",40,1516178,898139,1,5,0,4,2,0,12,4023,1566,11,4.04138403,0.3204551,0.01006543,0.23394087,0.77698122,0.92683227,NA,NA,1352.979793,1.15183574,38.87269835,3.36904699,0.04844423,29.05340653,5491,0.09,"NYC",180,52,14,0,52,0,64211.1111111111,2451,3328,3077,1020,1288,1993,990,488,420,258,39.6,1345,41918,738,2091,32,44,73,129,234,1010,1517,585,139,392
"36081099200",97,471626,497154,0,1,1,2,1,0,8,2232,704,10,6.10281852,0.47165818,0.21046834,0.38150668,0.54742689,0.81320377,19.32504348,8.47996138,2100.070611,1.72869311,22.92827258,1.04377089,0.13897322,19.4516233,4075,0.23,"NYC",408,150,21,0,150,0,19269.5652173913,404,4028,2259,1715,853,1244,441,179,527,203,25.2,583,29934,659,667,0,0,94,0,200,1163,215,81,337,1159
"36047084000",116,481435,354563,1,8,3,2,4,0,10,1781,744,7,4.0211622,0.28561717,0.00492882,0.20096825,0.41777179,0.67486856,14.65703197,7.07773027,1918.114533,1.06808047,18.15781147,1.04442946,0.09869542,26.81947322,2396,0.07,"NYC",375,225,20,0,224,1,35314.2857142857,112,2360,1385,501,658,555,637,121,191,188,36.9,271,33935,335,658,0,16,61,24,163,975,199,102,87,178
"36081051200",98,467592,281401,0,2,0,2,3,0,11,1815,740,17,7.15994557,0.6019321,0.0140999,0.38820938,1.1667218,1.92289851,59.8919796,60.41127422,4007.657947,1.610112,49.64891351,3.20425253,0.2799429,26.77641853,2684,0.15,"NYC",304,98,15,1,97,1,19000,14,2836,1559,697,597,738,574,244,268,199,40.3,408,36976,601,553,0,0,7,34,93,875,260,86,183,342
