GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Type,Collisions,CasualtiesPerPop,CasualtiesCount,PedeCasualtiesCount,PedeCasualtiesPerPop,CyclCasualtiesCount,CyclCasualtiesPerPop,MotrCasualtiesCount,MotrCasualtiesPerPop
11001007200,4664,8800,0.616638079,0.383361921,0.481132075,0.064751286,0.544811321,0.269511149,0.101415094,0.019511149,0.125428816,0.006217839,31.7,0.022941681,60919,0.273584906,0.263936535,0,0.019725557,0.174528302,0.025300172,0.002358491,0.096269297,0.320754717,0.249142367,0.038593482,0.116852487,DC,District of Columbia,Percentage,1337,0.088765009,414,21,0.004502573,6,0.001286449,387,0.082975986
11001009905,2897,17041.18,0.000690369,0.999309631,0.464273386,0.235415948,0.270969969,0.270969969,0.182947877,0.039696237,0.138419054,0.043838454,34.4,0.025198481,34808,0.23265447,0.120814636,0,0,0.007248878,0.004832585,0.025888851,0.369002416,0.049361408,0.028995513,0.145667932,0.250604073,DC,District of Columbia,Percentage,262,0.02657922,77,3,0.001035554,1,0.000345185,73,0.025198481
11001008402,2129,21290,0.589948333,0.410051667,0.641615782,0.084546736,0.351808361,0.31611085,0.175669328,0.071864725,0.179896665,0.046031,39,0.009394082,62552,0.211836543,0.250821982,0.004227337,0.102865195,0.068576797,0.041803664,0.015969939,0.146547675,0.279943636,0.279473931,0.046031,0.118835134,DC,District of Columbia,Percentage,508,0.061061531,130,13,0.006106153,5,0.00234852,112,0.052606858
11001007803,3707,9505.128,0.015646075,0.984353925,0.488535204,0.232263286,0.244942002,0.228216887,0.21985433,0.074723496,0.114378203,0.070137578,38.5,0.029673591,30174,0.242244402,0.150526032,0,0.007283518,0.011329916,0.002967359,0.023199353,0.331804694,0.082546534,0.025357432,0.087941732,0.223361209,DC,District of Columbia,Percentage,1035,0.083086053,308,45,0.012139196,5,0.0013488,258,0.069598058
11001008904,3338,18544.44,0.063810665,0.936189335,0.542540443,0.182744158,0.291791492,0.325943679,0.169562612,0.029958059,0.145296585,0.090473337,35.8,0.095266627,27959,0.246554823,0.205811863,0.002396645,0.005392451,0.002696225,0.019772319,0.050629119,0.365188736,0.09197124,0.040143799,0.083582984,0.263031756,DC,District of Columbia,Percentage,507,0.031156381,104,7,0.002097064,0,0,97,0.029059317
11001001001,7923,8340,0.741259624,0.258740376,0.5119273,0.251419917,0.156885018,0.320838066,0.192351382,0.078505617,0.069923009,0.035845008,41.6,0.124826455,86047,0.232866339,0.160545248,0,0.029660482,0.028145904,0.039126593,0.002019437,0.040641171,0.192477597,0.279565821,0.009592326,0.046573268,DC,District of Columbia,Percentage,660,0.019437082,154,23,0.002902941,4,0.000504859,127,0.016029282
11001007601,4909,11416.28,0.05968629,0.94031371,0.544917498,0.217355877,0.235282135,0.273171725,0.238745162,0.035445101,0.182114484,0.055612141,38.2,0.011000204,33784,0.206966796,0.167447545,0,0.005092687,0.011407619,0.009981666,0.012426156,0.40110002,0.06050112,0.058871461,0.084946018,0.212670605,DC,District of Columbia,Percentage,1431,0.08392748,412,32,0.006518639,6,0.001222245,374,0.076186596
11001007502,5164,21516.67,0.011037955,0.988962045,0.568745159,0.3080945,0.22443842,0.22095275,0.215530596,0.030983734,0.101665376,0.035243997,33.9,0.006003098,35451,0.132842758,0.121611154,0,0,0.001549187,0.002130132,0.019945778,0.32087529,0.034082107,0.042796282,0.098567002,0.470371805,DC,District of Columbia,Percentage,725,0.03137103,162,17,0.003292022,2,0.000387297,143,0.027691712
11001007100,3349,14560.87,0.381307853,0.618692147,0.522544043,0.240967453,0.40788295,0.19826814,0.128396536,0.024484921,0.054643177,0.044192296,30.3,0.020005972,67566,0.146610929,0.195879367,0,0.007464915,0.031054046,0.02806808,0.010152284,0.204538668,0.179157958,0.146909525,0.076440729,0.358913108,DC,District of Columbia,Percentage,838,0.064496865,216,8,0.002388773,8,0.002388773,200,0.059719319
11001010700,1721,5061.765,0.77454968,0.22545032,0.5212086,0.005810575,0.729808251,0.11040093,0.127832655,0.026147589,0.065078443,0.00929692,28.5,0.090063916,45469,0.077861708,0.257989541,0,0.008715863,0.312608948,0.06333527,0,0.043579314,0.213829169,0.276002324,0.026147589,0.18768158,DC,District of Columbia,Percentage,3710,0.423009878,728,129,0.074956421,54,0.031377106,545,0.316676351
11001001600,4455,4367.647,0.269360269,0.730639731,0.50684624,0.21369248,0.129068462,0.282603816,0.266666667,0.107968575,0.088888889,0.055443322,48.1,0.047362514,83558,0.372166105,0.096071829,0,0.004938272,0.006285073,0.028731762,0.001795735,0.116498316,0.196632997,0.27295174,0.038159371,0.040628507,DC,District of Columbia,Percentage,463,0.036588103,163,5,0.001122334,3,0.000673401,155,0.034792368
11001009000,3045,5536.364,0.044006568,0.955993432,0.612807882,0.160262726,0.107389163,0.254515599,0.348768473,0.129064039,0.176683087,0.115599343,50.2,0.01543514,51464,0.273891626,0.096223317,0,0,0.004597701,0.011165846,0.030213465,0.31954023,0.117241379,0.10410509,0.043678161,0.193760263,DC,District of Columbia,Percentage,410,0.044006568,134,10,0.003284072,1,0.000328407,123,0.040394089
11001009102,5264,7414.085,0.094414894,0.905585106,0.571618541,0.289893617,0.308130699,0.220364742,0.133358663,0.04825228,0.136968085,0.042553191,29.4,0.055091185,36276,0.18275076,0.180661094,0.003039514,0.001899696,0.00949848,0.008738602,0.02906535,0.285714286,0.107712766,0.059460486,0.064969605,0.292173252,DC,District of Columbia,Percentage,1449,0.079977204,421,37,0.007028875,3,0.000569909,381,0.072378419
11001009907,2942,16344.44,0,1,0.548946295,0.285859959,0.287899388,0.262066621,0.124065262,0.04010877,0.08803535,0.032970768,30.6,0,33040,0.163494222,0.153636982,0,0.004758668,0,0,0.026512576,0.30489463,0.044187627,0.026512576,0.099592114,0.351801496,DC,District of Columbia,Percentage,200,0.01971448,58,5,0.001699524,0,0,53,0.018014956
11001002201,3641,22756.25,0.155177149,0.844822851,0.506179621,0.178797034,0.336446031,0.217522659,0.181543532,0.085690744,0.051359517,0.079648448,34.2,0.109035979,35390,0.26119198,0.154902499,0,0.051084867,0.006866246,0.010711343,0.027190332,0.270255424,0.182642131,0.080747048,0.066190607,0.084317495,DC,District of Columbia,Percentage,312,0.024718484,90,9,0.002471848,7,0.001922549,74,0.020324087
11001007403,3192,24553.85,0.014097744,0.985902256,0.557017544,0.330513784,0.293233083,0.241854637,0.11716792,0.017230576,0.074874687,0.02443609,27,0.021616541,17852,0.143796992,0.160087719,0,0,0.024749373,0,0.013471178,0.355576441,0.018170426,0.028508772,0.063909774,0.407894737,DC,District of Columbia,Percentage,374,0.037593985,120,13,0.004072682,2,0.000626566,105,0.032894737
11001003400,4723,13494.29,0.246665255,0.753334745,0.59517256,0.095490155,0.609781918,0.17764133,0.095701884,0.021384713,0.056108406,0.032394664,21.5,0.051662079,10548,0.113063731,0.157103536,0,0.053144188,0.058013974,0.030700826,0.009316113,0.116663138,0.120897734,0.089985179,0.049121321,0.106923566,DC,District of Columbia,Percentage,994,0.06267203,296,21,0.004446326,17,0.003599407,258,0.054626297
11001002102,5076,18128.57,0.089440504,0.910559496,0.486406619,0.171394799,0.235027581,0.34357762,0.189716312,0.060283688,0.153467297,0.054570528,41.8,0.115051221,51154,0.337076438,0.165287628,0,0.008668243,0.016154452,0.005319149,0.01319937,0.230299448,0.193065406,0.132978723,0.044917258,0.138888889,DC,District of Columbia,Percentage,962,0.058116627,295,14,0.002758077,8,0.001576044,273,0.053782506
11001009505,2579,6447.5,0.090732842,0.909267158,0.596355176,0.198914308,0.203179527,0.224117875,0.215975184,0.157813106,0.09926328,0.117875145,42.3,0.075610702,50875,0.275300504,0.174098488,0,0,0.005040713,0,0.0345095,0.328421869,0.188445134,0.104303994,0.074835207,0.101977511,DC,District of Columbia,Percentage,875,0.1240791,320,17,0.006591702,5,0.001938736,298,0.115548662
11001004600,2833,16664.71,0.361807271,0.638192729,0.533709848,0.142605012,0.427815037,0.21673138,0.153900459,0.058948112,0.072361454,0.058595129,32,0.029297564,50473,0.281680198,0.188492764,0.002823862,0.038828097,0.075185316,0.021531945,0.016590187,0.232262619,0.19978821,0.171196611,0.055418285,0.152488528,DC,District of Columbia,Percentage,1085,0.092481468,262,24,0.008471585,21,0.007412637,217,0.076597247
11001007409,3894,25960,0.006933744,0.993066256,0.595017976,0.317668207,0.30816641,0.223934258,0.136620442,0.013610683,0.125321007,0.018233179,27.6,0.022342065,34250,0.168464304,0.162300976,0,0,0.021314843,0,0.007960966,0.347200822,0.032871084,0.008731382,0.064971751,0.308936826,DC,District of Columbia,Percentage,413,0.025166923,98,16,0.004108885,0,0,82,0.021058038
11001003700,5859,53263.64,0.367980884,0.632019116,0.481993514,0.164874552,0.453149002,0.22802526,0.138590203,0.015360983,0.082095921,0.026796382,31,0.1317631,46698,0.139784946,0.278204472,0,0.04744837,0.121522444,0.026625704,0.0098993,0.191329578,0.176309951,0.177504694,0.05666496,0.149513569,DC,District of Columbia,Percentage,425,0.018603857,109,14,0.002389486,13,0.002218809,82,0.013995562
11001004801,2560,21333.33,0.399609375,0.600390625,0.50625,0.107421875,0.428515625,0.27265625,0.1375,0.05390625,0.090625,0.05625,33.1,0.057421875,56607,0.201171875,0.26640625,0,0.048828125,0.134375,0.014453125,0.00859375,0.15078125,0.26171875,0.2140625,0.035546875,0.101953125,DC,District of Columbia,Percentage,676,0.07578125,194,15,0.005859375,27,0.010546875,152,0.059375
11001009400,5293,8677.049,0.134139429,0.865860571,0.504628755,0.202531646,0.174570187,0.319667485,0.208199509,0.095031173,0.093519743,0.053844701,42.3,0.033818251,42159,0.313999622,0.102966182,0,0.00623465,0.00302286,0.00925751,0.035140752,0.254109201,0.147742301,0.104099754,0.078405441,0.10938976,DC,District of Columbia,Percentage,583,0.040619686,215,8,0.00151143,5,0.000944644,202,0.038163612
11001006400,2455,9092.593,0.092057026,0.907942974,0.584521385,0.222810591,0.361303462,0.187780041,0.187780041,0.040325866,0.089613035,0.048472505,31.1,0.024439919,28105,0.127087576,0.111608961,0,0.017922607,0.063136456,0.022810591,0.034215886,0.282281059,0.120162933,0.026476578,0.06191446,0.448065173,DC,District of Columbia,Percentage,369,0.037881874,93,7,0.002851324,7,0.002851324,79,0.032179226
11001007903,1907,21188.89,0.177766125,0.822233875,0.545883587,0.202412166,0.263240692,0.273728369,0.212375459,0.048243314,0.154693235,0.038804405,36.3,0.014158364,51118,0.259045621,0.176717357,0,0.014682748,0.015207132,0.006292606,0.026743576,0.266911379,0.140534872,0.12532774,0.05715784,0.190875721,DC,District of Columbia,Percentage,380,0.056109072,107,11,0.005768222,5,0.002621919,91,0.04771893
11001003301,3922,23070.59,0.410249873,0.589750127,0.466598674,0.09790923,0.425803162,0.332228455,0.094594595,0.049464559,0.081081081,0.022947476,33.2,0.054054054,60119,0.296022438,0.172870984,0.004334523,0.146098929,0.058133605,0.038500765,0.026007139,0.142019378,0.329423763,0.215706272,0.030851606,0.073941866,DC,District of Columbia,Percentage,340,0.022437532,88,5,0.00127486,5,0.00127486,78,0.019887812
