"GEOID","crime_idx","spend_alc","spend_trans","biz_alc","biz_resto","biz_lib","biz_groc","biz_health","biz_hotel","biz_retail","fastfood_6mo","fastfood_freq","road_maxspeed","road_meanspeed","road_maxlength","road_minlength","road_meanlength","road_totlanes","road_maxlanes","road_trucks","road_iri","road_bumps","road_aadt","road_width","road_sumlength","road_pci","road_pavewidth","road_vc","road_q","pop","sqmi","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36005017701",86,324929,380015,1,7,1,2,3,0,20,2310,624,3,0.91624406,0.23916429,0.00376081,0.1407994,0.70553702,2.00000088,NA,2.79968223,1.01396273,383.748407,NA,0.88855641,35.44956472,1.847572,0.00984723,25.81493272,4486,0.04,"NYC",224,81,23,0,81,0
"36081021600",70,1279539,582670,1,12,4,5,11,0,20,3142,1312,50,19.27388551,0.91285364,0.00018351,0.23820937,1.50311898,5.99999963,0.6582281,100.2889788,8.20550704,37230.14234,3.37542947,6.66230842,57.94096921,13.32698785,0.07472299,25.0006178,4087,0.26,"NYC",860,184,30,3,180,4
"36081001200",44,752966,480285,1,14,3,5,4,0,36,2654,1046,25,6.17142399,0.31784489,7.45e-05,0.23843577,1.28266886,2.00000044,NA,18.99562996,7.85763006,1260.968365,NA,1.52333104,60.47170156,4.81543747,0.09956833,28.0982388,3783,0.09,"NYC",294,73,17,0,72,1
"36005040100",109,517897,605697,1,10,8,2,9,0,44,2531,683,25,8.18302864,0.28814224,0.00035819,0.18461013,1.38028219,3.41610421,0,62.58574689,8.17293782,5248.161499,NA,1.35896012,42.44002158,8.58852727,0.03805582,25.2789787,4439,0.07,"NYC",510,138,43,1,137,1
"36005015700",125,476149,403784,1,2,4,3,1,1,10,2472,905,50,15.84396408,0.35014791,0.00054105,0.19977467,0.54456724,1.38970265,NA,46.79808622,1.28315842,9713.876797,1.96986567,2.46116834,48.15535699,9.02012468,0.04051428,22.5537063,3702,0.12,"NYC",394,82,12,0,81,1
"36081048900",48,241904,169805,0,3,8,0,2,2,23,992,399,25,9.42297437,0.40857909,8.43e-05,0.27139997,2.18440142,4.77559971,0.38007221,28.3948074,3.69174673,4390.493792,1.61339799,2.14715687,64.66880356,9.70665936,0.01398228,22.14318142,1409,0.14,"NYC",467,122,11,0,122,0
"36047073600",58,577296,425159,1,6,0,4,8,0,20,2255,943,25,12.79937513,0.29184333,0.00073573,0.15477591,2.05515613,3.89124444,0.85835934,88.40447002,13.50024496,5633.662474,1.56640693,1.20825435,48.3000523,13.32334051,0.12504399,25.87948894,3334,0.07,"NYC",324,75,19,0,75,0
"36005050400",211,4941,5780,0,0,0,0,0,0,1,25,7,55,24.39477761,0.94317046,0.00054436,0.37596859,1.88119901,6.0000081,NA,53.25935311,1.52931592,20095.34266,0.72075241,10.20258897,76.79555864,7.48346497,0.16695611,23.56756763,39,2.61,"NYC",682,279,0,0,275,4
"36047001800",42,0,0,2,16,0,28,13,0,204,0,0,50,21.94296744,0.9581032,0.00040772,0.38793765,1.07597832,2.91010892,4.07399652,183.9853978,33.39298316,47687.0257,1.39992989,6.96146772,53.28687709,16.56384933,0.65870564,18.52127673,2312,0.84,"NYC",2495,537,40,0,536,1
"36061001001",22,719079,249493,0,1,2,0,5,0,3,1058,400,25,11.29656531,0.21890063,0.0003426,0.15599068,1.2198866,2.00000084,0,27.65839949,7.81261901,15809.81121,0.24460217,0.49093169,33.32982282,3.1936223,0.19046932,24.47954341,1355,0.03,"NYC",356,125,6,1,121,4
"36005043500",23,4734,3487,0,1,1,1,0,0,0,26,11,55,25.30375618,1.09073395,4.9e-05,0.36205801,2.20333209,6.00000188,0.9350668,103.9170913,11.73232115,33702.53819,3.34783125,18.84415677,71.24725216,16.55836867,0.30799489,24.25850337,39,2.61,"NYC",2907,1117,51,2,1111,6
"36047118800",77,520535,314230,2,12,0,13,6,0,68,2915,1139,23,9.47733467,0.38237727,0.02678673,0.23947285,1.11028294,1.92468229,NA,NA,NA,268.0848653,3.11791364,1.123418,60.61389042,3.14696597,0.01844057,25.47495409,4543,0.07,"NYC",252,50,21,0,50,0
"36061008400",350,1445303,527481,1,107,24,13,27,22,410,1439,689,21,11.0636471,0.20382839,0.00068213,0.18691536,0.73236591,1.48357208,NA,11.69246861,9.74091492,1742.363685,NA,1.43120121,43.3348511,3.80548397,0.00373233,26.53204576,1754,0.07,"NYC",1703,250,86,1,248,2
"36081044400",150,414103,259144,0,14,3,2,7,0,64,2269,891,25,7.44465923,0.67421362,0.00030466,0.34583161,1.30923749,1.99999974,0.78694919,65.69535588,42.3269201,3330.496219,0.36968095,3.57101234,53.07921168,4.08030455,0.13400142,21.96501766,3523,0.35,"NYC",1201,389,77,1,388,1
"36005022200",76,517799,287786,2,19,9,6,15,0,62,2324,895,25,7.89287711,0.36632135,0.00043117,0.19664833,1.67365158,3.92936304,0,0.66522628,0.07512159,109.1976732,0.01377651,1.21768856,69.61496324,5.85025794,0.00858816,24.54708185,3522,0.08,"NYC",621,132,40,2,130,2
"36061013700",201,6133718,2976014,7,121,19,8,155,42,287,5183,1914,15,9.59993344,0.34235928,0.0003055,0.2674352,0.77976106,1.58096132,NA,43.59526077,26.08439917,5030.434766,NA,2.70536934,31.6496873,2.39856149,0.16313505,25.96781949,6573,0.09,"NYC",1990,247,77,1,245,2
"36081074300",28,1030218,635833,0,15,1,13,14,0,51,2837,1169,6,2.18250539,0.29702575,0.09316812,0.26047857,0.43383606,0.584852,NA,16.61459859,3.15729132,836.9240877,NA,1.44490609,22.00833098,1.77679668,0.01122632,27.20343035,4380,0.07,"NYC",296,58,26,1,57,1
