"City","GEOID","Collisions","TotalInjuries","TotalDeaths","TotalCasualties"
"DC",11001004801,676,193,1,194
"DC",11001004802,536,129,0,129
"DC",11001004901,450,135,1,136
"DC",11001004902,445,101,0,101
"DC",11001005001,312,87,0,87
"DC",11001005002,633,188,0,188
"DC",11001005201,935,226,0,226
"DC",11001005301,595,131,0,131
"DC",11001005500,1802,268,0,268
"DC",11001005600,778,116,0,116
"DC",11001005800,3305,652,2,654
"DC",11001005900,1303,325,2,327
"DC",11001006202,3261,782,4,786
"DC",11001006400,369,93,0,93
"DC",11001006500,512,88,2,90
"DC",11001006600,317,79,0,79
"DC",11001006700,246,69,0,69
"DC",11001006801,244,57,0,57
"DC",11001006802,222,48,0,48
"DC",11001006804,328,83,0,83
"DC",11001006900,296,46,0,46
"DC",11001007000,627,136,0,136
"DC",11001007100,838,216,0,216
"DC",11001007200,1337,412,2,414
"DC",11001007301,121,40,0,40
"DC",11001007304,508,163,1,164
"DC",11001007401,1236,443,1,444
"DC",11001007403,374,119,1,120
"DC",11001007404,599,232,0,232
"DC",11001007406,162,30,1,31
"DC",11001007407,397,77,1,78
"DC",11001007408,314,89,0,89
"DC",11001007409,413,98,0,98
"DC",11001007502,725,161,1,162
"DC",11001007503,533,116,0,116
"DC",11001007504,272,57,1,58
"DC",11001007601,1431,410,2,412
"DC",11001007603,662,230,1,231
"DC",11001007604,885,240,1,241
"DC",11001007605,342,83,0,83
"DC",11001007703,508,155,1,156
"DC",11001007707,572,182,0,182
"DC",11001007708,518,158,2,160
"DC",11001007709,878,285,5,290
"DC",11001007803,1035,306,2,308
"DC",11001007804,459,147,0,147
"DC",11001007806,433,140,1,141
"DC",11001007807,338,104,1,105
"DC",11001007808,473,118,0,118
"DC",11001007809,403,104,1,105
"DC",11001007901,560,131,1,132
"DC",11001007903,380,107,0,107
"DC",11001008001,194,50,0,50
"DC",11001008002,353,96,0,96
"DC",11001008100,301,87,0,87
"DC",11001008200,284,71,0,71
"DC",11001008301,236,60,0,60
"DC",11001008302,270,104,0,104
"DC",11001008402,508,130,0,130
"DC",11001008410,622,158,4,162
"DC",11001008701,431,126,0,126
"DC",11001008702,599,176,3,179
"DC",11001008802,442,96,0,96
"DC",11001008803,1216,346,1,347
"DC",11001008804,468,118,1,119
"DC",11001008903,464,136,0,136
"DC",11001008904,507,103,1,104
"DC",11001009000,410,134,0,134
"DC",11001009102,1449,421,0,421
"DC",11001009201,384,143,1,144
"DC",11001009203,436,152,1,153
"DC",11001009204,322,84,0,84
"DC",11001009301,556,192,1,193
"DC",11001009302,427,142,0,142
"DC",11001009400,583,214,1,215
"DC",11001009501,658,220,0,220
"DC",11001009503,458,182,2,184
"DC",11001009504,485,176,1,177
"DC",11001009505,875,318,2,320
"DC",11001009507,123,36,0,36
"DC",11001009508,493,169,2,171
"DC",11001009509,190,68,0,68
"DC",11001009601,776,247,3,250
"DC",11001009602,489,144,2,146
"DC",11001009603,1034,299,2,301
"DC",11001009604,599,195,1,196
"DC",11001009700,398,112,0,112
"DC",11001009801,200,64,1,65
"DC",11001009802,130,25,0,25
"DC",11001009803,358,115,0,115
"DC",11001009804,260,62,1,63
"DC",11001009807,479,143,1,144
"DC",11001009810,361,119,1,120
"DC",11001009811,533,163,0,163
"DC",11001009901,438,162,0,162
"DC",11001009902,542,188,0,188
"DC",11001009903,345,130,0,130
"DC",11001009904,255,88,0,88
"DC",11001009905,262,77,0,77
"DC",11001009906,378,111,1,112
"DC",11001009907,200,58,0,58
"DC",11001010100,2509,509,3,512
"DC",11001010200,1603,431,2,433
"DC",11001010300,405,134,0,134
"DC",11001010400,1185,370,1,371
"DC",11001010500,1012,258,1,259
"DC",11001010600,2670,612,1,613
"DC",11001010700,3710,724,4,728
"DC",11001010800,1234,296,0,296
"DC",11001010900,440,105,0,105
"DC",11001011000,189,71,0,71
"DC",11001011100,2783,785,2,787
"LA",6037101110,46,5,0,5
"LA",6037101122,15,1,0,1
"LA",6037101210,157,24,1,25
"LA",6037101220,44,4,0,4
"LA",6037101300,89,8,1,9
"LA",6037101400,235,28,0,28
"LA",6037102103,36,5,0,5
"LA",6037102104,105,10,0,10
"LA",6037102105,34,3,1,4
"LA",6037102107,184,11,2,13
"LA",6037103101,37,6,0,6
"LA",6037103102,97,14,0,14
"LA",6037103200,143,19,1,20
"LA",6037103300,103,9,1,10
"LA",6037103400,191,36,4,40
"LA",6037104103,28,6,0,6
"LA",6037104105,70,15,1,16
"LA",6037104108,126,12,3,15
"LA",6037104124,51,4,0,4
"LA",6037104201,116,17,0,17
"LA",6037104203,78,13,0,13
