"City","GEOID","Collisions","TotalInjuries","TotalDeaths","TotalCasualties"
"LA",6037216300,353,54,5,59
"LA",6037216401,202,29,1,30
"LA",6037216402,83,16,0,16
"LA",6037216700,158,33,0,33
"LA",6037216800,256,39,0,39
"LA",6037216900,205,43,0,43
"LA",6037217001,206,53,0,53
"LA",6037217002,375,76,3,79
"LA",6037217100,174,30,1,31
"LA",6037217200,361,76,1,77
"LA",6037218110,247,55,2,57
"LA",6037218120,208,30,0,30
"LA",6037218210,107,18,0,18
"LA",6037218220,187,26,0,26
"LA",6037218300,360,46,0,46
"LA",6037218400,129,20,0,20
"LA",6037218500,259,31,2,33
"LA",6037218600,86,11,0,11
"LA",6037218701,201,40,1,41
"LA",6037218702,131,25,1,26
"LA",6037218800,190,30,0,30
"LA",6037218900,218,25,0,25
"LA",6037219010,181,31,0,31
"LA",6037219020,161,26,0,26
"LA",6037219300,204,37,0,37
"LA",6037219500,148,24,1,25
"LA",6037219700,239,43,1,44
"LA",6037219800,310,42,1,43
"LA",6037219901,120,25,0,25
"LA",6037219902,209,42,1,43
"LA",6037220000,450,93,3,96
"LA",6037220100,316,46,1,47
"LA",6037221110,133,39,2,41
"LA",6037221120,190,44,0,44
"LA",6037221210,205,46,0,46
"LA",6037221220,328,92,3,95
"LA",6037221302,227,45,0,45
"LA",6037221303,184,49,1,50
"LA",6037221304,98,16,1,17
"LA",6037221401,213,23,1,24
"LA",6037221402,284,49,1,50
"LA",6037221500,71,10,0,10
"LA",6037221601,97,36,0,36
"LA",6037221602,166,37,1,38
"LA",6037221710,86,17,0,17
"LA",6037221810,149,41,0,41
"LA",6037221820,77,12,1,13
"LA",6037221900,177,62,0,62
"LA",6037222001,169,27,1,28
"LA",6037222002,282,57,1,58
"LA",6037222100,117,22,0,22
"LA",6037222200,162,30,1,31
"LA",6037222500,191,39,0,39
"LA",6037222600,249,80,0,80
"LA",6037222700,182,45,0,45
"LA",6037224010,819,177,1,178
"LA",6037224020,720,139,2,141
"LA",6037224200,76,22,1,23
"LA",6037224310,121,30,0,30
"LA",6037224320,175,40,1,41
"LA",6037224410,81,22,1,23
"LA",6037224420,102,22,0,22
"LA",6037224600,312,80,1,81
"LA",6037224700,440,167,0,167
"LA",6037226001,594,95,1,96
"LA",6037226002,1260,367,7,374
"LA",6037226410,167,48,2,50
"LA",6037226420,188,45,2,47
"LA",6037226700,223,51,1,52
"LA",6037227010,130,22,1,23
"LA",6037227020,118,29,1,30
"LA",6037228100,168,24,0,24
"LA",6037228210,135,32,1,33
"LA",6037228220,131,36,1,37
"LA",6037228310,251,61,1,62
"LA",6037228320,144,31,0,31
"LA",6037228410,93,19,0,19
"LA",6037228420,90,28,0,28
"LA",6037228500,288,53,2,55
"LA",6037228600,361,73,0,73
"LA",6037228710,170,37,0,37
"LA",6037228720,133,21,2,23
"LA",6037228800,153,29,0,29
"LA",6037228900,97,22,0,22
"LA",6037229100,152,26,2,28
"LA",6037229200,150,27,0,27
"LA",6037229300,180,48,1,49
"LA",6037229410,240,43,1,44
"LA",6037229420,210,56,0,56
"LA",6037231100,413,77,1,78
"LA",6037231210,46,7,0,7
"LA",6037231220,335,52,0,52
"LA",6037231300,226,34,2,36
"LA",6037231400,207,47,0,47
"LA",6037231500,373,67,1,68
"LA",6037231600,412,80,3,83
"LA",6037231710,248,39,0,39
"LA",6037231720,250,53,0,53
"LA",6037231800,363,87,0,87
"LA",6037231900,343,84,0,84
"LA",6037232110,184,28,1,29
"LA",6037232120,301,71,3,74
"LA",6037232200,268,48,2,50
"LA",6037232300,230,45,2,47
"LA",6037232400,362,72,0,72
"LA",6037232500,336,50,1,51
"LA",6037232600,454,66,2,68
"LA",6037232700,528,87,6,93
"LA",6037232800,320,64,1,65
"LA",6037234000,435,41,0,41
"LA",6037234200,161,20,0,20
"LA",6037234300,282,47,2,49
"LA",6037234501,167,26,2,28
"LA",6037234502,162,25,1,26
"LA",6037234600,300,50,1,51
"LA",6037234700,415,69,0,69
"LA",6037234800,171,19,2,21
"LA",6037234901,83,13,0,13
"LA",6037234902,213,26,4,30
"LA",6037235100,112,2,2,4
"LA",6037235201,239,33,1,34
"LA",6037235202,308,46,3,49
"LA",6037236000,342,43,0,43
"LA",6037236100,413,62,0,62
"LA",6037236202,134,31,1,32
"LA",6037236203,112,30,1,31
"LA",6037236204,60,11,0,11
"LA",6037236400,86,9,0,9
"LA",6037237101,247,37,1,38
"LA",6037237102,250,41,0,41
"LA",6037237201,237,26,0,26
"LA",6037237202,442,88,2,90
"LA",6037237300,406,49,3,52
"LA",6037237401,242,33,3,36
"LA",6037237402,193,21,1,22
"LA",6037237500,178,26,2,28
"LA",6037237600,240,35,2,37
"LA",6037237710,323,59,0,59
"LA",6037237720,169,33,1,34
"LA",6037237800,422,41,3,44
"LA",6037237900,320,46,7,53
"LA",6037238000,377,50,2,52
"LA",6037238100,387,52,3,55
"LA",6037238200,446,77,3,80
"LA",6037238310,221,46,1,47
"LA",6037238320,227,47,0,47
"LA",6037238400,432,83,6,89
"LA",6037239201,277,55,2,57
"LA",6037239202,424,74,1,75
"LA",6037239310,324,57,1,58
"LA",6037239320,97,13,0,13
"LA",6037239330,115,26,0,26
"LA",6037239501,353,57,0,57
"LA",6037239502,137,22,0,22
"LA",6037239601,387,68,0,68
"LA",6037239602,130,15,1,16
"LA",6037239701,152,27,0,27
"LA",6037239702,295,49,3,52
"LA",6037239801,176,21,4,25
"LA",6037239802,305,54,3,57
"LA",6037240010,265,60,0,60
"LA",6037240020,274,40,3,43
"LA",6037240200,401,72,2,74
"LA",6037240300,457,80,1,81
"LA",6037240401,203,36,0,36
"LA",6037240402,270,42,2,44
"LA",6037240500,315,47,1,48
"LA",6037240600,325,61,1,62
"LA",6037240700,365,51,1,52
"LA",6037240800,244,44,2,46
"LA",6037240900,307,60,1,61
"LA",6037241001,494,69,2,71
"LA",6037241002,242,53,4,57
"LA",6037241110,112,12,0,12
"LA",6037241120,212,27,1,28
"LA",6037241201,126,24,3,27
"LA",6037241202,424,63,4,67
"LA",6037241300,81,14,0,14
"LA",6037241400,113,18,0,18
"LA",6037242000,175,28,0,28
"LA",6037242100,40,9,0,9
"LA",6037242200,190,34,0,34
"LA",6037242300,150,25,2,27
"LA",6037242600,144,23,2,25
"LA",6037242700,216,26,0,26
"LA",6037243000,234,53,1,54
"LA",6037243100,214,35,3,38
"LA",6037261101,143,9,0,9
"LA",6037261102,58,8,0,8
"LA",6037261200,171,11,0,11
"LA",6037262100,262,36,0,36
"LA",6037262200,276,28,0,28
"LA",6037262301,54,7,1,8
"LA",6037262302,117,17,0,17
"LA",6037262303,68,10,1,11
"LA",6037262400,116,16,0,16
"LA",6037262501,65,16,1,17
"LA",6037262601,26,3,0,3
"LA",6037262604,155,32,1,33
"LA",6037262704,269,50,4,54
"LA",6037262706,156,24,2,26
"LA",6037262802,170,24,0,24
"LA",6037264000,192,50,0,50
"LA",6037264102,45,5,0,5
"LA",6037264103,91,17,0,17
"LA",6037264301,215,35,1,36
"LA",6037264302,208,52,0,52
"LA",6037265100,164,28,0,28
"LA",6037265201,32,9,0,9
"LA",6037265202,269,63,0,63
"LA",6037265301,66,16,0,16
"LA",6037265303,17,5,0,5
"LA",6037265304,28,6,1,7
"LA",6037265305,132,31,0,31
"LA",6037265410,17,2,0,2
"LA",6037265420,110,15,0,15
"LA",6037265510,150,35,0,35
"LA",6037265520,252,73,0,73
"LA",6037265601,46,9,0,9
"LA",6037265602,22,2,0,2
"LA",6037265700,48,8,0,8
"LA",6037267100,225,28,2,30
"LA",6037267200,427,71,1,72
"LA",6037267300,219,44,0,44
"LA",6037267402,142,42,0,42
"LA",6037267403,63,14,0,14
"LA",6037267404,81,27,0,27
"LA",6037267501,187,41,1,42
"LA",6037267502,77,21,0,21
"LA",6037267600,389,81,2,83
"LA",6037267700,291,83,1,84
"LA",6037267800,326,64,0,64
"LA",6037267901,192,35,0,35
"LA",6037267902,110,12,0,12
"LA",6037269000,126,24,1,25
"LA",6037269100,211,56,0,56
"LA",6037269300,91,19,0,19
"LA",6037269500,101,16,1,17
"LA",6037269601,182,36,0,36
"LA",6037269602,40,4,0,4
"LA",6037269700,275,35,0,35
"LA",6037269800,108,26,0,26
"LA",6037269903,66,18,0,18
"LA",6037269904,119,27,0,27
"LA",6037269905,76,19,0,19
"LA",6037269906,21,6,0,6
"LA",6037269907,74,20,0,20
"LA",6037270100,244,64,2,66
"LA",6037270200,185,40,0,40
"LA",6037270300,242,44,1,45
"LA",6037271100,130,23,0,23
"LA",6037271200,105,18,0,18
"LA",6037271300,274,54,1,55
"LA",6037271400,74,13,0,13
"LA",6037271500,68,13,0,13
"LA",6037271600,116,18,0,18
"LA",6037271701,145,34,1,35
"LA",6037271702,137,32,0,32
"LA",6037271801,117,37,0,37
"LA",6037271802,146,33,0,33
"LA",6037271901,78,14,0,14
"LA",6037271902,139,27,0,27
"LA",6037272100,227,61,0,61
"LA",6037272201,45,11,0,11
"LA",6037272202,33,5,0,5
"LA",6037272301,29,5,0,5
"LA",6037272302,72,15,1,16
"LA",6037273100,120,28,0,28
"LA",6037273200,275,110,1,111
"LA",6037273300,150,39,0,39
"LA",6037273402,263,95,1,96
"LA",6037273502,247,94,0,94
"LA",6037273600,240,73,3,76
"LA",6037273700,124,32,0,32
"LA",6037273800,132,36,0,36
"LA",6037273902,241,91,1,92
"LA",6037274100,304,79,0,79
"LA",6037274202,66,10,0,10
"LA",6037275101,39,8,0,8
"LA",6037275102,68,6,3,9
"LA",6037275200,88,15,0,15
"LA",6037275302,226,50,0,50
"LA",6037275311,147,25,0,25
"LA",6037275400,68,14,0,14
"LA",6037275500,58,18,1,19
"LA",6037275602,173,33,1,34
"LA",6037275603,117,17,0,17
"LA",6037276000,233,15,0,15
"LA",6037276100,367,45,0,45
"LA",6037276400,50,8,0,8
"LA",6037276500,42,7,0,7
"LA",6037276601,270,51,5,56
"LA",6037276603,19,2,0,2
"LA",6037276604,36,7,0,7
"LA",6037277000,182,19,0,19
"LA",6037277100,80,9,1,10
"LA",6037277200,107,18,0,18
"LA",6037277400,68,5,0,5
"LA",6037278001,179,36,0,36
"LA",6037278102,129,23,1,24
"LA",6037291110,148,22,3,25
"LA",6037291120,141,12,0,12
"LA",6037291130,167,33,2,35
"LA",6037291210,182,28,1,29
"LA",6037291220,70,4,1,5
"LA",6037291300,81,9,0,9
"LA",6037292000,280,40,2,42
"LA",6037293201,206,19,2,21
"LA",6037293202,145,15,1,16
"LA",6037293301,79,16,0,16
"LA",6037293302,148,27,1,28
"LA",6037293304,77,13,0,13
"LA",6037293306,88,11,0,11
"LA",6037293307,179,32,0,32
"LA",6037294110,87,17,0,17
"LA",6037294120,95,10,0,10
"LA",6037294200,160,28,0,28
"LA",6037294301,128,12,0,12
"LA",6037294302,273,30,1,31
"LA",6037294410,123,32,0,32
"LA",6037294421,208,27,1,28
"LA",6037294510,109,18,3,21
"LA",6037294520,118,23,0,23
"LA",6037294610,84,17,0,17
"LA",6037294620,141,36,0,36
"LA",6037294701,260,36,2,38
"LA",6037294810,98,21,1,22
"LA",6037294820,209,43,3,46
"LA",6037294830,82,13,1,14
"LA",6037294900,99,16,1,17
"LA",6037295103,125,20,0,20
"LA",6037296210,69,9,1,10
"LA",6037296220,111,26,0,26
"LA",6037296300,112,20,0,20
"LA",6037296401,104,11,0,11
"LA",6037296402,60,8,0,8
"LA",6037296500,202,41,3,44
"LA",6037296600,551,128,1,129
"LA",6037296901,179,43,0,43
"LA",6037296902,149,40,1,41
"LA",6037297000,96,15,0,15
"LA",6037297110,100,18,0,18
"LA",6037297120,41,3,0,3
"LA",6037297201,134,30,0,30
"LA",6037297202,61,10,0,10
"LA",6037297300,37,3,0,3
"LA",6037297400,79,9,2,11
"LA",6037297500,145,15,0,15
"LA",6037297601,32,2,0,2
"LA",6037297602,59,7,2,9
"LA",6037300400,10,1,0,1
"LA",6037302104,1,0,0,0
"LA",6037302505,3,1,0,1
"LA",6037310400,2,0,0,0
"LA",6037310900,1,1,0,1
"LA",6037311600,1,0,0,0
"LA",6037320300,6,0,0,0
"LA",6037404301,2,2,0,2
"LA",6037480704,1,0,0,0
"LA",6037504102,1,0,0,0
"LA",6037531101,1,0,0,0
"LA",6037532400,60,7,0,7
"LA",6037532800,31,8,1,9
"LA",6037535001,6,2,0,2
"LA",6037535101,3,1,0,1
"LA",6037535102,3,1,0,1
"LA",6037535200,52,11,0,11
"LA",6037535400,43,8,0,8
"LA",6037535606,1,0,0,0
"LA",6037535607,3,1,0,1
"LA",6037540300,3,0,0,0
"LA",6037540400,15,0,0,0
"LA",6037540501,1,0,0,0
"LA",6037540600,23,3,0,3
"LA",6037540700,72,12,0,12
"LA",6037540901,1,0,0,0
"LA",6037540902,3,0,0,0
"LA",6037541001,1,0,0,0
"LA",6037541002,1,0,0,0
"LA",6037543306,1,0,0,0
"LA",6037543400,23,2,0,2
"LA",6037543501,1,0,0,0
"LA",6037543502,3,0,0,0
"LA",6037543602,1,0,0,0
"LA",6037543603,17,8,0,8
"LA",6037543604,29,2,0,2
"LA",6037543703,12,2,0,2
"LA",6037543905,1,0,0,0
"LA",6037573601,1,0,0,0
"LA",6037600100,82,18,0,18
"LA",6037600201,28,2,0,2
"LA",6037600202,34,6,0,6
"LA",6037600304,29,3,0,3
"LA",6037600400,5,1,0,1
"LA",6037600601,8,0,0,0
"LA",6037600702,16,1,0,1
"LA",6037600704,23,1,0,1
"LA",6037600801,29,4,0,4
"LA",6037600802,5,0,0,0
"LA",6037600912,57,10,0,10
"LA",6037601302,2,0,0,0
"LA",6037601401,20,3,0,3
"LA",6037602801,10,1,0,1
"LA",6037602900,2,1,0,1
"LA",6037603001,8,0,0,0
"LA",6037603101,2,0,0,0
"LA",6037603102,27,1,0,1
"LA",6037603200,20,3,0,3
"LA",6037609900,17,4,0,4
"LA",6037620001,4,1,0,1
"LA",6037650101,31,1,1,2
"LA",6037650200,8,0,0,0
"LA",6037650901,25,5,0,5
"LA",6037650902,7,3,0,3
"LA",6037670002,1,0,0,0
"LA",6037670100,2,0,0,0
"LA",6037670701,56,9,0,9
"LA",6037670702,2,0,0,0
"LA",6037700101,40,7,0,7
"LA",6037700102,20,4,0,4
"LA",6037700200,12,3,0,3
"LA",6037700300,2,1,0,1
"LA",6037700400,15,4,0,4
"LA",6037700600,1,0,0,0
"LA",6037700700,1,0,0,0
"LA",6037700801,1,0,0,0
"LA",6037700802,30,4,1,5
"LA",6037700901,40,8,0,8
"LA",6037700902,2,0,0,0
"LA",6037701000,2,0,0,0
"LA",6037701100,111,27,0,27
"LA",6037701201,4,2,0,2
"LA",6037701304,1,0,0,0
"LA",6037701601,2,1,0,1
"LA",6037701602,5,1,0,1
"LA",6037701701,9,4,0,4
"LA",6037701801,25,8,0,8
"LA",6037702102,2,1,0,1
"LA",6037702300,38,8,0,8
"LA",6037702400,47,5,0,5
"LA",6037702502,22,4,0,4
"LA",6037702600,11,0,0,0
"LA",6037702700,1,1,0,1
"LA",6037702801,3,0,0,0
"LA",6037702802,3,0,0,0
"LA",6037702803,6,0,0,0
"LA",6037702901,68,15,1,16
"LA",6037703001,13,1,0,1
"LA",6037703002,11,1,0,1
"LA",6037703100,1,0,0,0
"LA",6037703200,10,2,0,2
"LA",6037800101,1,0,0,0
"LA",6037800102,1,0,0,0
"LA",6037800204,1,0,0,0
"LA",6037800506,3,0,0,0
"LA",6037920303,4,0,0,0
"LA",6037920331,1,0,0,0
"LA",6037930200,3,0,0,0
"LA",6037980001,9,1,0,1
"LA",6037980002,8,1,0,1
"LA",6037980005,12,3,0,3
"LA",6037980008,237,20,0,20
"LA",6037980009,339,75,1,76
"LA",6037980010,141,14,1,15
"LA",6037980013,12,0,0,0
"LA",6037980014,114,10,0,10
"LA",6037980015,81,9,1,10
"LA",6037980019,12,1,0,1
"LA",6037980020,1,0,0,0
"LA",6037980021,96,7,1,8
"LA",6037980022,69,3,1,4
"LA",6037980023,37,2,0,2
"LA",6037980024,582,80,3,83
"LA",6037980026,2,0,0,0
"LA",6037980028,1120,210,6,216
"LA",6037980031,169,10,0,10
"LA",6037980033,8,0,0,0
"NYC",36005000100,4,1,0,1
"NYC",36005000200,145,34,0,34
"NYC",36005000400,218,62,0,62
"NYC",36005001600,346,107,2,109
"NYC",36005001900,2873,714,1,715
"NYC",36005002000,327,108,0,108
"NYC",36005002300,343,105,1,106
"NYC",36005002400,137,32,0,32
"NYC",36005002500,218,86,0,86
"NYC",36005002701,229,85,0,85
"NYC",36005002702,553,177,3,180
"NYC",36005002800,908,314,2,316
"NYC",36005003100,263,51,1,52
"NYC",36005003300,228,84,0,84
"NYC",36005003500,196,48,0,48
"NYC",36005003700,161,68,0,68
"NYC",36005003800,50,17,0,17
"NYC",36005003900,712,244,0,244
"NYC",36005004001,128,32,0,32
"NYC",36005004100,205,80,0,80
"NYC",36005004200,987,324,0,324
"NYC",36005004300,482,173,1,174
"NYC",36005004400,408,101,4,105
"NYC",36005004600,374,108,1,109
"NYC",36005004800,488,131,2,133
"NYC",36005005001,92,25,1,26
"NYC",36005005002,228,57,0,57
"NYC",36005005100,1630,418,1,419
"NYC",36005005200,479,103,1,104
"NYC",36005005300,154,67,0,67
"NYC",36005005400,295,75,1,76
"NYC",36005005600,243,67,0,67
"NYC",36005005902,252,77,1,78
"NYC",36005006000,796,192,0,192
"NYC",36005006100,212,49,0,49
"NYC",36005006200,327,109,0,109
"NYC",36005006300,2210,655,2,657
"NYC",36005006400,274,90,1,91
"NYC",36005006500,1102,333,0,333
"NYC",36005006700,336,85,1,86
"NYC",36005006800,275,102,1,103
"NYC",36005006900,377,101,0,101
"NYC",36005007000,201,42,0,42
"NYC",36005007100,474,171,0,171
"NYC",36005007200,316,80,2,82
"NYC",36005007300,223,82,0,82
"NYC",36005007400,129,32,0,32
"NYC",36005007500,228,76,0,76
"NYC",36005007600,359,117,0,117
"NYC",36005007700,148,62,0,62
"NYC",36005007800,414,83,0,83
"NYC",36005007900,360,128,0,128
"NYC",36005008300,321,88,0,88
"NYC",36005008400,59,8,0,8
"NYC",36005008500,430,158,1,159
"NYC",36005008600,202,46,0,46
"NYC",36005008700,364,131,1,132
"NYC",36005008900,581,178,1,179
"NYC",36005009000,1074,240,0,240
"NYC",36005009200,691,121,2,123
"NYC",36005009300,2512,657,5,662
"NYC",36005009600,541,155,1,156
"NYC",36005009800,669,208,0,208
"NYC",36005011000,504,154,0,154
"NYC",36005011502,1204,325,4,329
"NYC",36005011700,563,65,1,66
"NYC",36005011800,258,60,0,60
"NYC",36005011900,558,158,1,159
"NYC",36005012101,175,51,0,51
"NYC",36005012102,79,18,0,18
"NYC",36005012300,508,194,0,194
"NYC",36005012500,193,60,1,61
"NYC",36005012701,224,92,0,92
"NYC",36005012901,403,198,0,198
"NYC",36005013000,36,4,0,4
"NYC",36005013100,226,60,0,60
"NYC",36005013200,257,72,0,72
"NYC",36005013300,219,88,0,88
"NYC",36005013500,191,73,0,73
"NYC",36005013800,378,58,2,60
"NYC",36005014100,722,247,2,249
"NYC",36005014300,187,75,0,75
"NYC",36005014400,180,41,1,42
"NYC",36005014500,501,174,0,174
"NYC",36005014701,114,42,0,42
"NYC",36005014702,207,82,0,82
"NYC",36005014900,223,47,0,47
"NYC",36005015100,357,124,0,124
"NYC",36005015200,498,140,1,141
"NYC",36005015300,313,95,1,96
"NYC",36005015500,302,71,0,71
"NYC",36005015700,394,81,1,82
"NYC",36005015800,114,26,0,26
"NYC",36005015900,228,64,0,64
"NYC",36005016000,170,33,0,33
"NYC",36005016100,478,148,1,149
"NYC",36005016200,146,37,0,37
"NYC",36005016300,164,79,0,79
"NYC",36005016400,181,49,0,49
"NYC",36005016500,730,207,3,210
"NYC",36005016600,231,50,0,50
"NYC",36005016700,406,149,0,149
"NYC",36005016900,277,106,1,107
"NYC",36005017100,36,22,0,22
"NYC",36005017300,250,99,0,99
"NYC",36005017500,305,101,0,101
"NYC",36005017701,224,81,0,81
"NYC",36005017702,229,81,0,81
"NYC",36005017901,117,34,0,34
"NYC",36005017902,277,112,4,116
"NYC",36005018101,178,49,0,49
"NYC",36005018102,168,43,0,43
"NYC",36005018301,87,22,0,22
"NYC",36005018302,318,82,1,83
"NYC",36005018400,335,113,0,113
"NYC",36005018500,690,188,0,188
"NYC",36005018900,781,208,0,208
"NYC",36005019300,303,82,1,83
"NYC",36005019400,764,310,2,312
"NYC",36005019500,561,213,1,214
"NYC",36005019700,532,174,0,174
"NYC",36005019900,287,59,0,59
"NYC",36005020000,933,255,1,256
"NYC",36005020100,868,208,1,209
"NYC",36005020200,153,57,0,57
"NYC",36005020400,176,79,0,79
"NYC",36005020501,361,148,0,148
"NYC",36005020502,184,47,0,47
"NYC",36005020601,159,54,0,54
"NYC",36005020900,425,154,1,155
"NYC",36005021001,90,21,0,21
"NYC",36005021002,117,25,0,25
"NYC",36005021100,413,158,0,158
"NYC",36005021200,94,15,0,15
"NYC",36005021301,225,73,0,73
"NYC",36005021302,199,51,0,51
"NYC",36005021501,249,70,0,70
"NYC",36005021502,231,50,1,51
"NYC",36005021601,354,102,0,102
"NYC",36005021602,274,40,0,40
"NYC",36005021700,939,336,1,337
"NYC",36005021800,1123,317,2,319
"NYC",36005021900,401,134,2,136
"NYC",36005022000,373,135,0,135
"NYC",36005022101,173,46,0,46
"NYC",36005022102,150,54,1,55
"NYC",36005022200,621,130,2,132
"NYC",36005022300,180,36,0,36
"NYC",36005022401,256,81,0,81
"NYC",36005022403,188,38,0,38
"NYC",36005022404,180,41,0,41
"NYC",36005022500,242,71,0,71
"NYC",36005022701,385,130,1,131
"NYC",36005022702,284,76,0,76
"NYC",36005022703,128,40,0,40
"NYC",36005022800,181,44,0,44
"NYC",36005022901,303,119,0,119
"NYC",36005022902,287,144,0,144
"NYC",36005023000,201,56,1,57
"NYC",36005023100,608,169,1,170
"NYC",36005023200,122,37,0,37
"NYC",36005023301,344,130,0,130
"NYC",36005023302,135,36,0,36
"NYC",36005023501,304,145,0,145
"NYC",36005023502,69,21,0,21
"NYC",36005023600,149,42,0,42
"NYC",36005023702,103,22,0,22
"NYC",36005023703,560,245,4,249
"NYC",36005023704,265,100,0,100
"NYC",36005023800,483,147,0,147
"NYC",36005023900,696,239,0,239
"NYC",36005024000,740,295,2,297
"NYC",36005024100,470,168,0,168
"NYC",36005024300,352,128,0,128
"NYC",36005024400,198,66,0,66
"NYC",36005024501,116,31,0,31
"NYC",36005024502,152,39,0,39
"NYC",36005024600,117,27,0,27
"NYC",36005024700,292,93,0,93
"NYC",36005024800,287,73,2,75
"NYC",36005024900,53,15,0,15
"NYC",36005025000,148,50,0,50
"NYC",36005025100,446,195,0,195
"NYC",36005025200,204,50,0,50
"NYC",36005025300,311,90,0,90
"NYC",36005025400,125,30,0,30
"NYC",36005025500,406,106,0,106
"NYC",36005025600,179,43,0,43
"NYC",36005025700,945,307,0,307
"NYC",36005026100,98,25,0,25
"NYC",36005026300,560,195,0,195
"NYC",36005026400,405,98,0,98
"NYC",36005026500,591,141,0,141
"NYC",36005026601,201,50,0,50
"NYC",36005026602,291,55,1,56
"NYC",36005026701,284,82,1,83
"NYC",36005026702,201,51,0,51
"NYC",36005026900,622,218,3,221
"NYC",36005027300,474,138,0,138
"NYC",36005027401,363,102,3,105
"NYC",36005027402,55,8,0,8
"NYC",36005027600,641,230,1,231
"NYC",36005027700,425,112,0,112
"NYC",36005027900,276,74,0,74
"NYC",36005028100,216,65,1,66
"NYC",36005028300,424,88,0,88
"NYC",36005028400,826,216,4,220
"NYC",36005028500,272,44,0,44
"NYC",36005028600,303,91,0,91
"NYC",36005028700,335,70,0,70
"NYC",36005028800,240,49,0,49
"NYC",36005028900,682,133,2,135
"NYC",36005029301,61,18,0,18
"NYC",36005029302,253,36,0,36
"NYC",36005029500,307,38,0,38
"NYC",36005029600,528,129,1,130
"NYC",36005029700,252,36,1,37
"NYC",36005030000,312,69,0,69
"NYC",36005030100,27,4,0,4
"NYC",36005030200,176,58,0,58
"NYC",36005030701,62,13,0,13
"NYC",36005030900,97,12,0,12
"NYC",36005031000,338,84,0,84
"NYC",36005031200,174,65,0,65
"NYC",36005031400,156,86,0,86
"NYC",36005031600,96,46,1,47
"NYC",36005031800,75,25,0,25
"NYC",36005031900,48,8,0,8
"NYC",36005032300,215,34,0,34
"NYC",36005032400,182,72,0,72
"NYC",36005032600,190,76,0,76
"NYC",36005032800,219,84,1,85
"NYC",36005033000,460,145,2,147
"NYC",36005033201,140,44,0,44
"NYC",36005033202,154,35,0,35
"NYC",36005033400,2859,1066,4,1070
"NYC",36005033500,209,40,0,40
"NYC",36005033600,360,111,0,111
"NYC",36005033700,304,61,1,62
"NYC",36005033800,253,84,0,84
"NYC",36005034000,286,134,1,135
"NYC",36005034200,200,66,0,66
"NYC",36005034300,59,11,0,11
"NYC",36005034400,148,70,0,70
"NYC",36005034500,276,75,0,75
"NYC",36005034800,348,140,0,140
"NYC",36005035000,170,36,0,36
"NYC",36005035100,261,61,0,61
"NYC",36005035600,358,135,0,135
"NYC",36005035800,532,197,0,197
"NYC",36005035900,299,81,0,81
"NYC",36005036000,221,83,0,83
"NYC",36005036100,360,137,0,137
"NYC",36005036300,463,160,1,161
"NYC",36005036400,383,102,0,102
"NYC",36005036501,317,132,2,134
"NYC",36005036502,234,94,0,94
"NYC",36005036700,103,39,0,39
"NYC",36005036800,313,106,0,106
"NYC",36005036901,251,74,0,74
"NYC",36005036902,96,27,0,27
"NYC",36005037000,154,54,0,54
"NYC",36005037100,208,62,0,62
"NYC",36005037200,204,62,0,62
"NYC",36005037300,298,105,1,106
"NYC",36005037400,458,131,1,132
"NYC",36005037504,382,102,1,103
"NYC",36005037600,107,27,0,27
"NYC",36005037800,270,83,0,83
"NYC",36005037900,493,208,0,208
"NYC",36005038000,285,90,0,90
"NYC",36005038100,390,98,0,98
"NYC",36005038200,187,68,0,68
"NYC",36005038301,220,73,0,73
"NYC",36005038302,218,83,0,83
"NYC",36005038500,274,95,0,95
"NYC",36005038600,441,130,1,131
"NYC",36005038700,483,137,0,137
"NYC",36005038800,97,41,0,41
"NYC",36005038900,301,77,0,77
"NYC",36005039000,180,52,2,54
"NYC",36005039100,406,120,0,120
"NYC",36005039200,176,52,0,52
"NYC",36005039300,374,91,0,91
"NYC",36005039400,220,60,0,60
"NYC",36005039500,829,256,0,256
"NYC",36005039600,351,140,1,141
"NYC",36005039700,944,279,2,281
"NYC",36005039800,199,74,0,74
"NYC",36005039901,602,154,1,155
"NYC",36005039902,583,153,0,153
"NYC",36005040100,510,137,1,138
"NYC",36005040302,124,27,0,27
"NYC",36005040303,266,72,1,73
"NYC",36005040304,159,70,1,71
"NYC",36005040400,191,56,0,56
"NYC",36005040501,130,21,0,21
"NYC",36005040502,262,58,0,58
"NYC",36005040600,289,88,0,88
"NYC",36005040701,72,24,0,24
"NYC",36005040702,420,130,0,130
"NYC",36005040800,275,58,1,59
"NYC",36005040900,653,172,0,172
"NYC",36005041100,199,51,0,51
"NYC",36005041300,232,58,0,58
"NYC",36005041400,652,173,0,173
"NYC",36005041500,216,74,0,74
"NYC",36005041800,493,146,4,150
"NYC",36005041900,611,138,0,138
"NYC",36005042000,684,143,1,144
"NYC",36005042100,997,243,1,244
"NYC",36005042200,331,100,0,100
"NYC",36005042300,169,46,0,46
"NYC",36005042400,303,127,1,128
"NYC",36005042500,728,196,0,196
"NYC",36005042600,637,210,1,211
"NYC",36005042800,184,70,0,70
"NYC",36005042901,164,34,0,34
"NYC",36005042902,591,153,0,153
"NYC",36005043000,203,95,0,95
"NYC",36005043100,656,147,0,147
"NYC",36005043400,524,144,0,144
"NYC",36005043500,2907,1111,6,1117
"NYC",36005043600,127,37,1,38
