"GEOID","City","STATE_x","COUNTY_x"
"36005040502","NYC","NY","Bronx"
"36005040600","NYC","NY","Bronx"
"36005040701","NYC","NY","Bronx"
"36005040702","NYC","NY","Bronx"
"36005040800","NYC","NY","Bronx"
"36005040900","NYC","NY","Bronx"
"36005041100","NYC","NY","Bronx"
"36005041300","NYC","NY","Bronx"
"36005041400","NYC","NY","Bronx"
"36005041500","NYC","NY","Bronx"
"36005041800","NYC","NY","Bronx"
"36005041900","NYC","NY","Bronx"
"36005042000","NYC","NY","Bronx"
"36005042100","NYC","NY","Bronx"
"36005042200","NYC","NY","Bronx"
"36005042300","NYC","NY","Bronx"
"36005042400","NYC","NY","Bronx"
"36005042500","NYC","NY","Bronx"
"36005042600","NYC","NY","Bronx"
"36005042800","NYC","NY","Bronx"
"36005042901","NYC","NY","Bronx"
"36005042902","NYC","NY","Bronx"
"36005043000","NYC","NY","Bronx"
"36005043100","NYC","NY","Bronx"
"36005043400","NYC","NY","Bronx"
"36005043500","NYC","NY","Bronx"
"36005043600","NYC","NY","Bronx"
"36005044200","NYC","NY","Bronx"
"36005044400","NYC","NY","Bronx"
"36005044800","NYC","NY","Bronx"
"36005044901","NYC","NY","Bronx"
"36005044902","NYC","NY","Bronx"
"36005045101","NYC","NY","Bronx"
"36005045102","NYC","NY","Bronx"
"36005045600","NYC","NY","Bronx"
"36005045800","NYC","NY","Bronx"
"36005046000","NYC","NY","Bronx"
"36005046201","NYC","NY","Bronx"
"36005046202","NYC","NY","Bronx"
"36005048400","NYC","NY","Bronx"
"36005050400","NYC","NY","Bronx"
"36005051600","NYC","NY","Bronx"
"36047000100","NYC","NY","Kings"
"36047000200","NYC","NY","Kings"
"36047000301","NYC","NY","Kings"
"36047000501","NYC","NY","Kings"
"36047000502","NYC","NY","Kings"
"36047000700","NYC","NY","Kings"
"36047000900","NYC","NY","Kings"
"36047001100","NYC","NY","Kings"
"36047001300","NYC","NY","Kings"
"36047001500","NYC","NY","Kings"
"36047001800","NYC","NY","Kings"
"36047002000","NYC","NY","Kings"
"36047002100","NYC","NY","Kings"
"36047002200","NYC","NY","Kings"
"36047002300","NYC","NY","Kings"
"36047002901","NYC","NY","Kings"
"36047003000","NYC","NY","Kings"
"36047003100","NYC","NY","Kings"
"36047003300","NYC","NY","Kings"
"36047003400","NYC","NY","Kings"
"36047003500","NYC","NY","Kings"
"36047003600","NYC","NY","Kings"
"36047003700","NYC","NY","Kings"
"36047003800","NYC","NY","Kings"
"36047003900","NYC","NY","Kings"
"36047004100","NYC","NY","Kings"
"36047004300","NYC","NY","Kings"
"36047004400","NYC","NY","Kings"
"36047004500","NYC","NY","Kings"
"36047004600","NYC","NY","Kings"
"36047004700","NYC","NY","Kings"
"36047004900","NYC","NY","Kings"
"36047005000","NYC","NY","Kings"
"36047005100","NYC","NY","Kings"
"36047005201","NYC","NY","Kings"
"36047005202","NYC","NY","Kings"
"36047005300","NYC","NY","Kings"
"36047005400","NYC","NY","Kings"
"36047005601","NYC","NY","Kings"
"36047005602","NYC","NY","Kings"
"36047005800","NYC","NY","Kings"
"36047005900","NYC","NY","Kings"
"36047006000","NYC","NY","Kings"
"36047006200","NYC","NY","Kings"
"36047006300","NYC","NY","Kings"
"36047006400","NYC","NY","Kings"
"36047006500","NYC","NY","Kings"
"36047006600","NYC","NY","Kings"
