,GEOID,City,STATE_x,2018 Total Crime Index,Alcoholic Beverages,AnalysisArea_x,AnalysisArea_y,Beer/Wine/Liquor Stores:Bus,COUNTY_x,Eating & Drinking Businesses (SIC),Education/Library Businesses (SIC),Food Stores - Businesses (SIC),Health Services - Businesses (SIC),Hotel/Lodging Businesses (SIC),MAX_POSTED_SPEED_LIMIT,MAX_SECTION_LENGTH,MAX_TOTAL_LANES,MEAN_ACTUAL_PCT_TRUCKS,MEAN_IRI,MEAN_I_NO_OF_BUMPS,MEAN_LAST_ACTUAL_AADT,MEAN_LAST_ACTUAL_CNTYR,MEAN_MEDIAN_WIDTH,MEAN_PCI,MEAN_POSTED_SPEED_LIMIT,MEAN_SECTION_LENGTH,MEAN_TOTAL_LANES,MEAN_TOTAL_PAVEMENT_WIDTH,MEAN_VC,MEAN_q_score,MIN_SECTION_LENGTH,POPULATION_x,Point_Count,Public/Other Transportation,SQMI_x,SUM_Length_Miles,Total Retail:Bus,POPULATION_x,Went to fast food/drive-in restaurant 9+ times/mo,Went to fast food/drive-in restaurant in last 6 mo
22,36047118000.0,NYC,NY,337.0,0.0,0.81600742,0.31506223,0.0,Kings,0.0,7.0,0.0,0.0,0.0,25.0,0.7357649,1.99357903,0.0,263.6144652,80.05695972,11605.63594,1752.9528489999998,2.8000000000000003e-05,43.94873073,22.05443713,0.54588009,1.74336775,4.35843945,0.6264725999999999,27.11727725,0.00011274,6.0,125.0,0.0,0.32,1.50810844,0.0,6.0,0.0,0.0
23,36061008601.0,NYC,NY,67.0,2745259.0,0.11527292,0.04450712,0.0,New York,2.0,1.0,0.0,17.0,0.0,40.0,0.27760124,6.00001053,0.01801548,77.43022771,11.0119701,36492.67093,937.9656859999999,1.1347209999999999,41.72970931,11.07462672,0.18014747,1.7911342000000001,11.36985597,0.01280545,20.09886092,0.00082576,2622.0,64.0,1139854.0,0.04,2.02358164,9.0,2622.0,1145.0,2617.0
24,36005038800.0,NYC,NY,74.0,460248.0,0.14858608,0.05736941,0.0,Bronx,1.0,0.0,0.0,1.0,0.0,7.0,0.2048881,0.46042269,,,0.0,1742.9300879999998,461.11332269999997,,20.02838696,7.0,0.2048881,0.46042269,1.15105672,,26.89881723,0.2048881,2724.0,86.0,338959.0,0.06,0.20493987,4.0,2724.0,772.0,1847.0
25,36047038700.0,NYC,NY,105.0,725380.0,0.18850524,0.07278228,1.0,Kings,8.0,2.0,3.0,6.0,0.0,7.0,0.32957631,0.44116474,,,0.07706472,793.5159894999999,237.843183,,15.20867651,3.2927882000000004,0.27122878,0.30489279999999996,0.99292304,0.01664504,25.39723397,0.09927771,3980.0,111.0,534219.0,0.07,1.22896306,20.0,3980.0,1186.0,2836.0
26,36047031701.0,NYC,NY,103.0,629913.0,0.13949195,0.05385814,1.0,Kings,21.0,4.0,7.0,5.0,0.0,8.0,0.18450987,0.61503292,1.35427547,62.67753043,6.66339194,2552.881124,438.1127445,,13.00766176,5.73996415,0.15321862,0.43506727,2.12882317,0.12843787,27.66048535,0.0875916,3523.0,82.0,463911.0,0.05,0.27260120000000004,44.0,3523.0,1033.0,2470.0
27,36061006600.0,NYC,NY,75.0,6450405.0,0.17357567,0.06701794,2.0,New York,36.0,7.0,8.0,13.0,1.0,11.0,0.27880628,1.83972148,,31.221478499999996,5.42660741,4000.584193,501.29723039999993,,27.35944993,5.89922602,0.2128618,0.75404841,6.88119404,,26.71540386,0.00352928,11823.0,97.0,3700203.0,0.07,1.37283678,72.0,11823.0,3403.0,9337.0
28,36081046700.0,NYC,NY,23.0,897370.0,0.14212531,0.05487489,0.0,Queens,0.0,1.0,0.0,4.0,0.0,25.0,0.17735459,2.00000006,,,0.0,,,,70.49707809,5.02997569,0.12130881,1.40994156,3.8837275,,27.24653227,0.00022501,7392.0,82.0,601707.0,0.05,0.86743032,6.0,7392.0,1951.0,4907.0
29,36005001900.0,NYC,NY,162.0,193103.0,1.68002887,0.64866277,1.0,Bronx,17.0,1.0,9.0,7.0,1.0,50.0,0.53000001,2.00000591,1.12606841,130.4251947,11.96732782,28979.61017,957.4678802999999,1.76067316,69.06406374,20.42077547,0.2015,1.12866484,14.34013943,0.14410345,19.72295623,0.00091746,1889.0,611.0,156449.0,0.65,13.14755778,61.0,1889.0,377.0,1136.0
30,36081018300.0,NYC,NY,42.0,1827023.0,0.21440491,0.0827822,1.0,Queens,31.0,4.0,20.0,12.0,0.0,5.0,0.17262691,0.90854661,0.23493529,13.64451796,3.33729857,1555.418396,236.91185319999997,,16.27525029,3.14982481,0.14793174,0.47037057,1.68713439,0.01540852,27.60031393,0.12023508,6311.0,125.0,884150.0,0.08,1.02239607,71.0,6311.0,1728.0,4598.0
31,36047020100.0,NYC,NY,71.0,1842646.0,0.1740494,0.06720085,0.0,Kings,17.0,1.0,5.0,5.0,0.0,10.0,0.24358353,1.0004398,,0.02493696,3.88136122,972.4525702,262.97466069999996,,22.07962194,2.81179757,0.17264772,0.44427145,1.57007836,0.05436847,28.7925619,0.00320149,3588.0,101.0,892112.0,0.07,0.6909056,32.0,3588.0,1088.0,2905.0
32,36005017701.0,NYC,NY,86.0,324929.0,0.10812497,0.04174728,1.0,Bronx,7.0,1.0,2.0,3.0,0.0,3.0,0.23916429,2.00000088,,2.79968223,1.01396273,383.748407,60.88628255,,35.44956472,0.91624406,0.1407994,0.70553702,1.8475720000000002,0.00984723,25.81493272,0.00376081,4486.0,64.0,380015.0,0.04,0.88855641,20.0,4486.0,624.0,2310.0
33,36081021600.0,NYC,NY,70.0,1279539.0,0.66496775,0.25674548,1.0,Queens,12.0,4.0,5.0,11.0,0.0,50.0,0.91285364,5.99999963,0.6582281,100.2889788,8.20550704,37230.14234,1176.2469039999999,3.37542947,57.94096921,19.27388551,0.23820937,1.50311898,13.32698785,0.07472299,25.0006178,0.00018351,4087.0,243.0,582670.0,0.26,6.66230842,20.0,4087.0,1312.0,3142.0
34,36081001200.0,NYC,NY,44.0,752966.0,0.22604317,0.08727576,1.0,Queens,14.0,3.0,5.0,4.0,0.0,25.0,0.31784489,2.00000044,,18.99562996,7.85763006,1260.968365,499.34159289999997,,60.47170156,6.17142399,0.23843577,1.28266886,4.81543747,0.09956833,28.098238800000004,7.45e-05,3783.0,124.0,480285.0,0.09,1.52333104,36.0,3783.0,1046.0,2654.0
35,36005040100.0,NYC,NY,109.0,517897.0,0.17325763,0.06689515,1.0,Bronx,10.0,8.0,2.0,9.0,0.0,25.0,0.28814224,3.41610421,0.0,62.58574689,8.17293782,5248.161499,398.37350489999994,,42.44002158,8.18302864,0.18461013,1.38028219,8.58852727,0.03805582,25.2789787,0.00035819,4439.0,91.0,605697.0,0.07,1.35896012,44.0,4439.0,683.0,2531.0
36,36005015700.0,NYC,NY,125.0,476149.0,0.31176231,0.1203721,1.0,Bronx,2.0,4.0,3.0,1.0,1.0,50.0,0.35014791,1.38970265,,46.79808622,1.28315842,9713.876796999999,795.5445862,1.96986567,48.15535699,15.84396408,0.19977467,0.54456724,9.02012468,0.04051428,22.553706299999998,0.00054105,3702.0,144.0,403784.0,0.12,2.46116834,10.0,3702.0,905.0,2472.0
