"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"LA","6037228710",170,37,37,0,21,21,0,13,13,0,3,3,0
"LA","6037228720",133,23,21,2,12,10,2,7,7,0,4,4,0
"LA","6037228800",153,29,29,0,13,13,0,13,13,0,3,3,0
"LA","6037228900",97,22,22,0,11,11,0,9,9,0,2,2,0
"LA","6037229100",152,28,26,2,17,16,1,9,8,1,2,2,0
"LA","6037229200",150,27,27,0,18,18,0,9,9,0,0,0,0
"LA","6037229300",180,49,48,1,28,27,1,16,16,0,5,5,0
"LA","6037229410",240,44,43,1,16,16,0,23,22,1,5,5,0
"LA","6037229420",210,56,56,0,31,31,0,18,18,0,7,7,0
"LA","6037231100",413,78,77,1,29,28,1,43,43,0,6,6,0
"LA","6037231210",46,7,7,0,1,1,0,6,6,0,0,0,0
"LA","6037231220",335,52,52,0,20,20,0,26,26,0,6,6,0
"LA","6037231300",226,36,34,2,20,18,2,12,12,0,4,4,0
"LA","6037231400",207,47,47,0,28,28,0,17,17,0,2,2,0
"LA","6037231500",373,68,67,1,33,32,1,23,23,0,12,12,0
"LA","6037231600",412,83,80,3,38,35,3,29,29,0,16,16,0
"LA","6037231710",248,39,39,0,21,21,0,12,12,0,6,6,0
"LA","6037231720",250,53,53,0,31,31,0,18,18,0,4,4,0
"LA","6037231800",363,87,87,0,31,31,0,52,52,0,4,4,0
"LA","6037231900",343,84,84,0,40,40,0,37,37,0,7,7,0
"LA","6037232110",184,29,28,1,11,11,0,15,14,1,3,3,0
"LA","6037232120",301,74,71,3,39,36,3,26,26,0,9,9,0
"LA","6037232200",268,50,48,2,24,23,1,18,17,1,8,8,0
"LA","6037232300",230,47,45,2,28,27,1,14,14,0,5,4,1
"LA","6037232400",362,72,72,0,39,39,0,20,20,0,13,13,0
"LA","6037232500",336,51,50,1,26,25,1,21,21,0,4,4,0
"LA","6037232600",454,68,66,2,41,39,2,21,21,0,6,6,0
"LA","6037232700",528,93,87,6,50,46,4,32,32,0,11,9,2
"LA","6037232800",320,65,64,1,29,28,1,30,30,0,6,6,0
"LA","6037234000",435,41,41,0,21,21,0,10,10,0,10,10,0
"LA","6037234200",161,20,20,0,9,9,0,5,5,0,6,6,0
"LA","6037234300",282,49,47,2,29,27,2,12,12,0,8,8,0
"LA","6037234501",167,28,26,2,16,14,2,5,5,0,7,7,0
"LA","6037234502",162,26,25,1,13,13,0,10,9,1,3,3,0
"LA","6037234600",300,51,50,1,28,27,1,18,18,0,5,5,0
"LA","6037234700",415,69,69,0,40,40,0,24,24,0,5,5,0
"LA","6037234800",171,21,19,2,12,12,0,4,4,0,5,3,2
"LA","6037234901",83,13,13,0,10,10,0,2,2,0,1,1,0
"LA","6037234902",213,30,26,4,24,20,4,2,2,0,4,4,0
"LA","6037235100",112,4,2,2,2,2,0,1,0,1,1,0,1
"LA","6037235201",239,34,33,1,13,13,0,7,7,0,14,13,1
"LA","6037235202",308,49,46,3,29,27,2,11,11,0,9,8,1
"LA","6037236000",342,43,43,0,24,24,0,8,8,0,11,11,0
"LA","6037236100",413,62,62,0,41,41,0,14,14,0,7,7,0
"LA","6037236202",134,32,31,1,22,21,1,3,3,0,7,7,0
"LA","6037236203",112,31,30,1,19,18,1,7,7,0,5,5,0
"LA","6037236204",60,11,11,0,9,9,0,2,2,0,0,0,0
"LA","6037236400",86,9,9,0,5,5,0,2,2,0,2,2,0
"LA","6037237101",247,38,37,1,22,21,1,13,13,0,3,3,0
"LA","6037237102",250,41,41,0,21,21,0,15,15,0,5,5,0
"LA","6037237201",237,26,26,0,10,10,0,12,12,0,4,4,0
"LA","6037237202",442,90,88,2,40,38,2,30,30,0,20,20,0
"LA","6037237300",406,52,49,3,26,25,1,15,15,0,11,9,2
"LA","6037237401",242,36,33,3,16,13,3,17,17,0,3,3,0
"LA","6037237402",193,22,21,1,15,14,1,4,4,0,3,3,0
"LA","6037237500",178,28,26,2,12,10,2,9,9,0,7,7,0
"LA","6037237600",240,37,35,2,19,19,0,14,13,1,4,3,1
"LA","6037237710",323,59,59,0,27,27,0,26,26,0,6,6,0
"LA","6037237720",169,34,33,1,27,26,1,4,4,0,3,3,0
"LA","6037237800",422,44,41,3,23,21,2,11,11,0,10,9,1
"LA","6037237900",320,53,46,7,28,24,4,6,6,0,19,16,3
"LA","6037238000",377,52,50,2,34,32,2,5,5,0,13,13,0
"LA","6037238100",387,55,52,3,38,35,3,9,9,0,8,8,0
"LA","6037238200",446,80,77,3,38,36,2,28,28,0,14,13,1
"LA","6037238310",221,47,46,1,22,21,1,18,18,0,7,7,0
"LA","6037238320",227,47,47,0,18,18,0,25,25,0,4,4,0
"LA","6037238400",432,89,83,6,57,52,5,15,15,0,17,16,1
"LA","6037239201",277,57,55,2,31,29,2,21,21,0,5,5,0
"LA","6037239202",424,75,74,1,35,35,0,34,34,0,6,5,1
"LA","6037239310",324,58,57,1,29,28,1,25,25,0,4,4,0
"LA","6037239320",97,13,13,0,8,8,0,3,3,0,2,2,0
"LA","6037239330",115,26,26,0,11,11,0,12,12,0,3,3,0
"LA","6037239501",353,57,57,0,27,27,0,21,21,0,9,9,0
"LA","6037239502",137,22,22,0,13,13,0,3,3,0,6,6,0
"LA","6037239601",387,68,68,0,36,36,0,20,20,0,12,12,0
"LA","6037239602",130,16,15,1,12,11,1,3,3,0,1,1,0
"LA","6037239701",152,27,27,0,12,12,0,12,12,0,3,3,0
"LA","6037239702",295,52,49,3,26,25,1,19,19,0,7,5,2
"LA","6037239801",176,25,21,4,17,14,3,5,5,0,3,2,1
"LA","6037239802",305,57,54,3,32,31,1,18,16,2,7,7,0
"LA","6037240010",265,60,60,0,34,34,0,14,14,0,12,12,0
"LA","6037240020",274,43,40,3,24,23,1,13,13,0,6,4,2
"LA","6037240200",401,74,72,2,39,39,0,19,18,1,16,15,1
"LA","6037240300",457,81,80,1,35,35,0,29,29,0,17,16,1
"LA","6037240401",203,36,36,0,25,25,0,8,8,0,3,3,0
"LA","6037240402",270,44,42,2,29,28,1,10,9,1,5,5,0
"LA","6037240500",315,48,47,1,26,25,1,16,16,0,6,6,0
"LA","6037240600",325,62,61,1,37,36,1,10,10,0,15,15,0
"LA","6037240700",365,52,51,1,20,20,0,18,17,1,14,14,0
"LA","6037240800",244,46,44,2,26,25,1,13,13,0,7,6,1
"LA","6037240900",307,61,60,1,35,34,1,10,10,0,16,16,0
"LA","6037241001",494,71,69,2,34,33,1,16,16,0,21,20,1
"LA","6037241002",242,57,53,4,26,22,4,18,18,0,13,13,0
"LA","6037241110",112,12,12,0,7,7,0,3,3,0,2,2,0
"LA","6037241120",212,28,27,1,15,14,1,7,7,0,6,6,0
"LA","6037241201",126,27,24,3,18,16,2,4,3,1,5,5,0
"LA","6037241202",424,67,63,4,44,40,4,16,16,0,7,7,0
"LA","6037241300",81,14,14,0,7,7,0,4,4,0,3,3,0
"LA","6037241400",113,18,18,0,11,11,0,4,4,0,3,3,0
"LA","6037242000",175,28,28,0,17,17,0,6,6,0,5,5,0
"LA","6037242100",40,9,9,0,6,6,0,2,2,0,1,1,0
"LA","6037242200",190,34,34,0,19,19,0,9,9,0,6,6,0
"LA","6037242300",150,27,25,2,15,14,1,7,6,1,5,5,0
"LA","6037242600",144,25,23,2,13,11,2,8,8,0,4,4,0
"LA","6037242700",216,26,26,0,14,14,0,7,7,0,5,5,0
"LA","6037243000",234,54,53,1,37,37,0,12,11,1,5,5,0
"LA","6037243100",214,38,35,3,24,21,3,9,9,0,5,5,0
"LA","6037261101",143,9,9,0,0,0,0,0,0,0,9,9,0
"LA","6037261102",58,8,8,0,2,2,0,3,3,0,3,3,0
"LA","6037261200",171,11,11,0,6,6,0,2,2,0,3,3,0
"LA","6037262100",262,36,36,0,4,4,0,4,4,0,28,28,0
"LA","6037262200",276,28,28,0,10,10,0,3,3,0,15,15,0
"LA","6037262301",54,8,7,1,0,0,0,4,4,0,4,3,1
"LA","6037262302",117,17,17,0,10,10,0,0,0,0,7,7,0
"LA","6037262303",68,11,10,1,3,3,0,1,1,0,7,6,1
"LA","6037262400",116,16,16,0,2,2,0,9,9,0,5,5,0
"LA","6037262501",65,17,16,1,5,5,0,0,0,0,12,11,1
"LA","6037262601",26,3,3,0,2,2,0,0,0,0,1,1,0
"LA","6037262604",155,33,32,1,11,11,0,7,7,0,15,14,1
"LA","6037262704",269,54,50,4,21,19,2,13,11,2,20,20,0
"LA","6037262706",156,26,24,2,14,12,2,4,4,0,8,8,0
"LA","6037262802",170,24,24,0,10,10,0,6,6,0,8,8,0
"LA","6037264000",192,50,50,0,12,12,0,27,27,0,11,11,0
"LA","6037264102",45,5,5,0,3,3,0,1,1,0,1,1,0
"LA","6037264103",91,17,17,0,5,5,0,7,7,0,5,5,0
"LA","6037264301",215,36,35,1,13,12,1,7,7,0,16,16,0
"LA","6037264302",208,52,52,0,30,30,0,10,10,0,12,12,0
"LA","6037265100",164,28,28,0,9,9,0,2,2,0,17,17,0
"LA","6037265201",32,9,9,0,3,3,0,1,1,0,5,5,0
"LA","6037265202",269,63,63,0,39,39,0,15,15,0,9,9,0
"LA","6037265301",66,16,16,0,3,3,0,1,1,0,12,12,0
"LA","6037265303",17,5,5,0,2,2,0,3,3,0,0,0,0
"LA","6037265304",28,7,6,1,2,1,1,3,3,0,2,2,0
"LA","6037265305",132,31,31,0,12,12,0,11,11,0,8,8,0
"LA","6037265410",17,2,2,0,1,1,0,0,0,0,1,1,0
"LA","6037265420",110,15,15,0,6,6,0,6,6,0,3,3,0
"LA","6037265510",150,35,35,0,16,16,0,10,10,0,9,9,0
"LA","6037265520",252,73,73,0,32,32,0,28,28,0,13,13,0
"LA","6037265601",46,9,9,0,6,6,0,3,3,0,0,0,0
"LA","6037265602",22,2,2,0,0,0,0,1,1,0,1,1,0
"LA","6037265700",48,8,8,0,4,4,0,0,0,0,4,4,0
"LA","6037267100",225,30,28,2,8,7,1,10,10,0,12,11,1
"LA","6037267200",427,72,71,1,27,26,1,26,26,0,19,19,0
"LA","6037267300",219,44,44,0,22,22,0,15,15,0,7,7,0
"LA","6037267402",142,42,42,0,29,29,0,6,6,0,7,7,0
"LA","6037267403",63,14,14,0,5,5,0,6,6,0,3,3,0
"LA","6037267404",81,27,27,0,18,18,0,5,5,0,4,4,0
"LA","6037267501",187,42,41,1,15,15,0,16,16,0,11,10,1
"LA","6037267502",77,21,21,0,9,9,0,6,6,0,6,6,0
"LA","6037267600",389,83,81,2,24,23,1,25,25,0,34,33,1
"LA","6037267700",291,84,83,1,35,35,0,30,29,1,19,19,0
"LA","6037267800",326,64,64,0,22,22,0,24,24,0,18,18,0
"LA","6037267901",192,35,35,0,12,12,0,5,5,0,18,18,0
"LA","6037267902",110,12,12,0,5,5,0,3,3,0,4,4,0
"LA","6037269000",126,25,24,1,10,9,1,7,7,0,8,8,0
"LA","6037269100",211,56,56,0,29,29,0,19,19,0,8,8,0
