"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"LA","6037269300",91,19,19,0,10,10,0,2,2,0,7,7,0
"LA","6037269500",101,17,16,1,9,9,0,1,1,0,7,6,1
"LA","6037269601",182,36,36,0,13,13,0,11,11,0,12,12,0
"LA","6037269602",40,4,4,0,2,2,0,1,1,0,1,1,0
"LA","6037269700",275,35,35,0,14,14,0,13,13,0,8,8,0
"LA","6037269800",108,26,26,0,13,13,0,10,10,0,3,3,0
"LA","6037269903",66,18,18,0,9,9,0,6,6,0,3,3,0
"LA","6037269904",119,27,27,0,10,10,0,8,8,0,9,9,0
"LA","6037269905",76,19,19,0,7,7,0,8,8,0,4,4,0
"LA","6037269906",21,6,6,0,3,3,0,3,3,0,0,0,0
"LA","6037269907",74,20,20,0,5,5,0,7,7,0,8,8,0
"LA","6037270100",244,66,64,2,24,22,2,32,32,0,10,10,0
"LA","6037270200",185,40,40,0,6,6,0,26,26,0,8,8,0
"LA","6037270300",242,45,44,1,18,18,0,15,14,1,12,12,0
"LA","6037271100",130,23,23,0,10,10,0,4,4,0,9,9,0
"LA","6037271200",105,18,18,0,6,6,0,7,7,0,5,5,0
"LA","6037271300",274,55,54,1,21,21,0,21,21,0,13,12,1
"LA","6037271400",74,13,13,0,3,3,0,7,7,0,3,3,0
"LA","6037271500",68,13,13,0,5,5,0,3,3,0,5,5,0
"LA","6037271600",116,18,18,0,5,5,0,9,9,0,4,4,0
"LA","6037271701",145,35,34,1,14,13,1,10,10,0,11,11,0
"LA","6037271702",137,32,32,0,14,14,0,10,10,0,8,8,0
"LA","6037271801",117,37,37,0,11,11,0,14,14,0,12,12,0
"LA","6037271802",146,33,33,0,18,18,0,9,9,0,6,6,0
"LA","6037271901",78,14,14,0,4,4,0,8,8,0,2,2,0
"LA","6037271902",139,27,27,0,10,10,0,14,14,0,3,3,0
"LA","6037272100",227,61,61,0,14,14,0,37,37,0,10,10,0
"LA","6037272201",45,11,11,0,3,3,0,3,3,0,5,5,0
"LA","6037272202",33,5,5,0,4,4,0,1,1,0,0,0,0
"LA","6037272301",29,5,5,0,1,1,0,3,3,0,1,1,0
"LA","6037272302",72,16,15,1,5,5,0,4,4,0,7,6,1
