"GEOID","pop_dens","perc_minority","perc_female","perc_genz","perc_millenial","perc_genx","perc_boomer","perc_retiree","perc_divsep","perc_widowed","median_age","perc_foreign","median_earnings","perc_cars","perc_trans","perc_mbike","perc_bike","perc_walk","perc_wfm","perc_lowedu","perc_hsged","perc_bs","perc_grad","perc_unemp","perc_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36061000201",89000,0.835580524344569,0.561797752808989,0.128089887640449,0.322846441947566,0.240823970037453,0.18501872659176,0.123220973782772,0.098876404494382,0.101123595505618,40.2,0.137078651685393,21892,0.0674157303370786,0.200374531835206,0,0.00786516853932584,0.0883895131086142,0.0101123595505618,0.119101123595506,0.262546816479401,0.0726591760299626,0.0262172284644195,0.0108614232209738,0.517602996254682,"NYC",135,51,9,0,51,0
"36005025200",38600,0.559215396002961,0.496299037749815,0.202442635085122,0.259067357512953,0.296817172464841,0.168023686158401,0.0736491487786825,0.0940044411547002,0.0710584752035529,37.5,0.0873427091043671,35071,0.167283493708364,0.168763878608438,0,0.00148038490007402,0.0614359733530718,0.00518134715025907,0.0244263508512213,0.270170244263508,0.125092524056255,0.0414507772020725,0.0462620281273131,0.147298297557365,"NYC",204,50,12,0,50,0
"36047057300",34085.7142857143,0.240989103101425,0.55406538139145,0.0641240569991618,0.454735959765298,0.287929589270746,0.153813914501257,0.0393964794635373,0.0377200335289187,0.066219614417435,34.4,0.101424979044426,45238,0.119865884325231,0.412824811399832,0,0.0117351215423303,0.0586756077116513,0.0381391450125733,0.0159262363788768,0.240150880134116,0.279966471081308,0.136211232187762,0.0511316010058676,0.175607711651299,"NYC",433,78,14,0,78,0
"36061021703",66.6666666666667,0,1,0,0.5,0.5,0,0,0,0,NA,0,NA,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,"NYC",306,84,28,0,84,0
"36081000800",53257.1428571429,0.861587982832618,0.486856223175966,0.249195278969957,0.272263948497854,0.291845493562232,0.16362660944206,0.023068669527897,0.0517703862660944,0.0375536480686695,32.9,0.247854077253219,30674,0.160407725321888,0.259388412017167,0,0,0.0278969957081545,0.00295064377682403,0.0509656652360515,0.263948497854077,0.112124463519313,0.0501609442060086,0.0354077253218884,0.191255364806867,"NYC",241,48,10,1,46,2
"36047003800",29180,0.282385195339273,0.459904043865661,0.167237834132968,0.218642906100069,0.283070596298835,0.287183002056203,0.043865661411926,0.10692254969157,0.0274160383824537,47.3,0.0349554489376285,51168,0.26525017135024,0.164496230294722,0,0,0.0116518163125428,0.0404386566141193,0.019876627827279,0.233721727210418,0.238519533927348,0.12748457847841,0.0274160383824537,0.0767649074708705,"NYC",97,25,4,0,25,0
"36047063600",35800,0.277234636871508,0.513268156424581,0.21159217877095,0.169692737430168,0.298184357541899,0.249301675977654,0.0712290502793296,0.053072625698324,0.053072625698324,43.2,0.0460893854748603,60284,0.207402234636872,0.147346368715084,0,0.00418994413407821,0.0272346368715084,0.00349162011173184,0.018854748603352,0.238128491620112,0.206703910614525,0.103351955307263,0.0509776536312849,0.0167597765363128,"NYC",67,26,6,0,26,0
"36081118700",33514.2857142857,0.875959079283887,0.497868712702472,0.183716965046888,0.258312020460358,0.302642796248934,0.195225916453538,0.0601023017902813,0.0699062233589088,0.0434782608695652,38.3,0.304347826086957,25665,0.151747655583973,0.204177323103154,0,0.0127877237851662,0.0515771526001705,0.015771526001705,0.0537084398976982,0.312446717817562,0.0788576300085252,0.0447570332480818,0.0490196078431373,0.158567774936061,"NYC",111,15,5,0,15,0
"36081012400",40762.5,0.948175406317081,0.536031892057651,0.282428702851886,0.270775835633241,0.266789328426863,0.166206685065931,0.0137994480220791,0.101502606562404,0.0205458448328734,30.7,0.215884697945416,27639,0.162220177859552,0.240417049984667,0.00337319840539712,0,0.0321987120515179,0.0128794848206072,0.0607175712971481,0.26525605642441,0.0809567617295308,0.0450781968721251,0.0325053664520086,0.196258816314014,"NYC",468,130,33,0,130,0
"36081068200",12955.5555555556,0.993138936535163,0.513722126929674,0.260720411663808,0.158662092624357,0.309605488850772,0.240137221269297,0.0308747855917667,0.142367066895369,0.0257289879931389,42.2,0.119210977701544,45729,0.249571183533448,0.195540308747856,0,0.0120068610634648,0,0.0291595197255575,0.0283018867924528,0.333619210977702,0.113207547169811,0.0317324185248714,0.0257289879931389,0.100343053173242,"NYC",212,99,9,0,98,1
