"GEOID","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36061006500",80750,5007,1453,3168,275,3938,1248,794,205,392,77,29.7,819,76141,87,2385,0,161,1201,236,15,473,2260,1047,87,599,"NYC",619,80,27,0,80,0
"36047033100",67633.3333333333,2386,1672,1958,798,1370,730,919,241,383,162,29.6,438,22807,421,670,0,18,654,169,226,1385,373,321,297,489,"NYC",372,153,53,1,152,1
"36005038301",115100,62,4542,2399,1385,1269,1374,505,71,543,161,30.8,1353,20930,461,1212,0,18,150,79,256,1037,89,144,284,1844,"NYC",220,73,22,0,73,0
"36081085900",85300,501,4617,2454,765,1263,1838,919,333,460,221,42,2106,21174,1017,788,0,0,447,0,243,1328,433,374,166,925,"NYC",257,54,27,0,54,0
"36047020000",46020,1211,1090,1230,477,385,671,548,220,144,137,42.4,371,31759,494,409,0,14,51,50,171,693,224,128,46,319,"NYC",182,37,9,1,36,1
"36047085000",26266.6666666667,13,1563,951,316,390,249,548,73,146,53,38.6,177,40100,232,454,0,0,39,14,21,616,205,44,59,175,"NYC",173,90,11,0,90,0
"36047030000",50125,1260,2750,2135,981,848,1088,781,312,319,186,38.4,1001,26596,420,1170,0,0,92,0,230,948,478,122,106,717,"NYC",342,106,40,1,105,1
"36061024500",195525,874,14768,7178,2723,5016,4400,2745,758,2398,602,35.1,3848,21592,960,5019,0,30,1129,395,813,4186,1911,370,911,4435,"NYC",786,193,71,0,192,1
"36061015300",132828.571428571,7395,1903,5014,1630,1587,3313,2156,612,600,364,40.7,1018,102840,251,3396,24,42,1173,370,30,979,2732,2297,330,249,"NYC",699,99,31,0,98,1
"36081043900",72616.6666666667,232,4125,1794,1202,1169,1386,493,107,230,153,32.6,2236,22149,581,1436,0,9,161,15,209,1286,153,55,134,970,"NYC",286,67,25,0,67,0
"36047031702",74660,956,2777,1958,655,1657,774,514,133,303,132,30.4,500,38642,159,1568,6,121,95,84,104,880,674,336,238,616,"NYC",469,144,30,1,143,1
"36081007100",47662.5,2077,1736,1994,355,1885,906,581,86,256,103,31.8,563,48456,312,1837,0,7,169,120,121,767,1177,494,103,625,"NYC",579,134,41,0,134,0
"36081035200",12639.1304347826,89,2818,1552,707,705,829,490,176,266,156,36,232,35587,695,563,0,0,34,45,69,1037,284,84,123,209,"NYC",575,162,26,0,162,0
"36047019900",49342.8571428571,1603,1851,1734,576,1110,1174,523,71,279,70,35.3,254,50046,220,1623,25,114,113,119,33,514,937,683,119,378,"NYC",623,231,35,0,231,0
"36081115500",34871.4285714286,324,2117,1297,536,748,664,402,91,129,97,32.6,783,32414,579,432,0,16,153,36,146,749,167,94,39,241,"NYC",195,51,5,0,51,0
"36047004400",13264.7058823529,1812,443,1152,392,436,620,576,231,112,142,45.7,52,54688,447,463,0,0,97,61,19,462,578,276,71,144,"NYC",177,82,5,0,82,0
"36047054800",30971.4285714286,1900,268,1141,599,405,519,435,210,51,136,36.9,221,37644,308,338,0,5,126,26,48,316,353,305,60,226,"NYC",212,86,11,0,86,0
"36061000900",13330.7692307692,1217,516,737,232,737,605,147,12,92,19,33.7,246,101910,95,703,0,8,306,122,15,173,575,440,27,74,"NYC",727,128,40,1,127,1
"36081033700",56516.6666666667,88,3303,1560,546,1196,856,660,133,431,87,33.5,936,20911,625,1054,0,50,117,23,348,1049,293,28,73,645,"NYC",143,58,12,0,58,0
